Device: PM2003001		2022:11:08    11:38:01,897  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:38:01,900
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,207	-13,297	-13,300	-13,380	-13,407	-13,424	-13,442	-13,447	-13,446	-13,456	-13,449	-13,420	-13,382	-13,285	-13,177	-0,156	-0,136	-0,118	-0,096	-0,079	-0,058	-0,029	-0,012	0,009	0,031	0,077	0,121	0,166	0,187	0,152	0,000	0,000
1,000	-16,694	-16,653	-16,558	-16,326	-16,139	-16,017	-15,949	-15,888	-15,824	-15,783	-15,733	-15,669	-15,611	-15,512	-15,404	0,089	0,250	0,303	0,408	0,409	0,363	0,344	0,308	0,283	0,262	0,255	0,252	0,249	0,247	0,176	0,000	0,000
2,000	-10,269	-10,268	-10,225	-10,079	-9,973	-9,895	-9,853	-9,814	-9,757	-9,723	-9,660	-9,578	-9,483	-9,333	-9,164	0,066	0,134	0,180	0,252	0,262	0,246	0,251	0,248	0,254	0,261	0,298	0,325	0,344	0,348	0,259	0,000	0,000
3,000	-20,215	-20,209	-20,113	-19,792	-19,575	-19,447	-19,373	-19,314	-19,262	-19,246	-19,213	-19,173	-19,125	-19,018	-18,894	0,091	0,278	0,368	0,488	0,471	0,390	0,338	0,291	0,252	0,212	0,208	0,221	0,233	0,245	0,187	0,000	0,000
4,000	-10,778	-10,825	-10,731	-10,723	-10,692	-10,691	-10,691	-10,688	-10,684	-10,670	-10,621	-10,550	-10,417	-10,198	-9,912	-0,176	0,015	-0,001	0,039	0,046	0,058	0,081	0,100	0,129	0,191	0,278	0,364	0,451	0,504	0,416	0,000	0,000
5,000	-12,246	-12,235	-12,374	-12,404	-12,393	-12,383	-12,371	-12,369	-12,342	-12,341	-12,293	-12,216	-12,089	-11,845	-11,539	-0,100	-0,200	-0,131	-0,020	0,014	0,032	0,072	0,105	0,141	0,191	0,275	0,377	0,472	0,531	0,434	0,000	0,000
6,000	-6,955	-6,682	-6,532	-6,338	-6,232	-6,167	-6,128	-6,097	-6,059	-6,036	-6,000	-5,960	-5,913	-5,845	-5,772	0,839	0,638	0,525	0,396	0,329	0,262	0,237	0,215	0,192	0,182	0,178	0,177	0,175	0,171	0,123	0,000	0,000
7,000	-2,115	-1,878	-1,856	-1,790	-1,770	-1,749	-1,739	-1,737	-1,725	-1,721	-1,712	-1,700	-1,684	-1,650	-1,614	1,661	0,831	0,565	0,285	0,201	0,139	0,118	0,096	0,080	0,073	0,067	0,072	0,073	0,075	0,059	0,000	0,000
8,000	-11,027	-10,133	-9,843	-9,565	-9,473	-9,447	-9,428	-9,427	-9,434	-9,453	-9,470	-9,474	-9,469	-9,445	-9,394	3,914	2,329	1,635	0,812	0,540	0,356	0,253	0,179	0,111	0,078	0,058	0,052	0,063	0,076	0,072	0,000	0,000
