Device: PM2003001		2022:11:08    11:13:43,534  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:13:43,536
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-11,589	-11,408	-11,352	-11,330	-11,322	-11,330	-11,330	-11,329	-11,331	-11,334	-11,340	-11,326	-11,310	-11,265	-11,205	0,718	0,409	0,289	0,115	0,069	0,038	0,037	0,030	0,032	0,029	0,047	0,060	0,083	0,093	0,078	0,000	0,000
1,000	-12,113	-11,595	-11,336	-11,042	-10,900	-10,786	-10,723	-10,669	-10,641	-10,600	-10,563	-10,534	-10,497	-10,449	-10,391	2,112	1,396	1,076	0,696	0,559	0,442	0,379	0,313	0,262	0,222	0,190	0,174	0,157	0,139	0,105	0,000	0,000
2,000	-7,943	-7,553	-7,387	-7,119	-7,000	-6,911	-6,863	-6,818	-6,773	-6,735	-6,677	-6,617	-6,535	-6,432	-6,306	1,445	0,972	0,795	0,546	0,449	0,366	0,335	0,292	0,274	0,267	0,265	0,276	0,282	0,268	0,205	0,000	0,000
3,000	-20,881	-20,506	-20,304	-19,872	-19,653	-19,512	-19,447	-19,395	-19,348	-19,345	-19,318	-19,294	-19,270	-19,209	-19,145	0,792	0,787	0,746	0,654	0,564	0,436	0,360	0,298	0,240	0,184	0,161	0,152	0,148	0,150	0,107	0,000	0,000
4,000	-11,580	-11,707	-11,632	-11,651	-11,627	-11,623	-11,631	-11,627	-11,632	-11,616	-11,590	-11,528	-11,420	-11,244	-11,017	-0,473	-0,126	-0,105	-0,017	-0,002	0,023	0,043	0,059	0,089	0,142	0,217	0,284	0,359	0,406	0,341	0,000	0,000
5,000	-12,760	-12,743	-12,919	-12,957	-12,970	-12,947	-12,936	-12,941	-12,916	-12,907	-12,857	-12,776	-12,647	-12,409	-12,100	-0,198	-0,301	-0,209	-0,057	-0,015	0,013	0,060	0,095	0,141	0,189	0,281	0,372	0,469	0,524	0,428	0,000	0,000
6,000	-8,600	-8,618	-8,525	-8,397	-8,294	-8,242	-8,211	-8,178	-8,145	-8,121	-8,070	-8,006	-7,918	-7,761	-7,587	-0,088	0,109	0,160	0,216	0,219	0,194	0,195	0,187	0,201	0,216	0,254	0,293	0,327	0,344	0,268	0,000	0,000
7,000	-6,898	-6,856	-6,850	-6,769	-6,717	-6,692	-6,674	-6,656	-6,643	-6,641	-6,622	-6,600	-6,573	-6,517	-6,457	0,048	0,050	0,081	0,115	0,106	0,091	0,087	0,081	0,082	0,077	0,090	0,096	0,109	0,117	0,083	0,000	0,000
8,000	-19,643	-19,824	-19,834	-19,934	-19,933	-19,982	-20,025	-20,056	-20,075	-20,131	-20,151	-20,160	-20,161	-20,114	-20,057	-0,281	-0,160	-0,167	-0,131	-0,130	-0,135	-0,132	-0,128	-0,114	-0,095	-0,052	-0,008	0,024	0,069	0,068	0,000	0,000
