Device: PM2003001		2022:11:08    11:25:38,191  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:25:38,194
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,610	-12,684	-12,697	-12,767	-12,784	-12,798	-12,796	-12,806	-12,806	-12,808	-12,790	-12,767	-12,718	-12,627	-12,513	-0,134	-0,119	-0,104	-0,076	-0,057	-0,039	-0,012	0,003	0,026	0,050	0,085	0,125	0,170	0,190	0,156	0,000	0,000
1,000	-16,401	-16,401	-16,325	-16,165	-16,018	-15,922	-15,865	-15,813	-15,762	-15,735	-15,679	-15,638	-15,579	-15,487	-15,381	0,029	0,164	0,221	0,304	0,325	0,287	0,279	0,247	0,237	0,218	0,219	0,228	0,224	0,227	0,172	0,000	0,000
2,000	-10,328	-10,308	-10,266	-10,117	-10,007	-9,932	-9,882	-9,848	-9,796	-9,758	-9,698	-9,623	-9,522	-9,370	-9,201	0,089	0,140	0,195	0,264	0,269	0,250	0,251	0,243	0,252	0,257	0,289	0,328	0,350	0,348	0,266	0,000	0,000
3,000	-20,615	-20,596	-20,520	-20,195	-19,978	-19,841	-19,775	-19,714	-19,665	-19,655	-19,613	-19,577	-19,523	-19,417	-19,294	0,145	0,282	0,369	0,490	0,462	0,383	0,338	0,294	0,253	0,221	0,211	0,222	0,235	0,245	0,185	0,000	0,000
4,000	-10,871	-10,920	-10,836	-10,832	-10,799	-10,795	-10,798	-10,793	-10,798	-10,762	-10,734	-10,653	-10,516	-10,292	-10,004	-0,205	0,003	-0,004	0,041	0,051	0,070	0,079	0,097	0,128	0,193	0,277	0,370	0,461	0,512	0,423	0,000	0,000
5,000	-12,840	-12,845	-13,010	-13,051	-13,056	-13,034	-13,018	-13,020	-12,990	-12,999	-12,938	-12,851	-12,713	-12,470	-12,143	-0,189	-0,271	-0,211	-0,054	-0,009	0,029	0,070	0,103	0,147	0,198	0,287	0,388	0,491	0,555	0,449	0,000	0,000
6,000	-6,200	-5,720	-5,503	-5,251	-5,132	-5,058	-5,023	-4,989	-4,952	-4,927	-4,884	-4,847	-4,794	-4,713	-4,623	1,592	1,098	0,854	0,547	0,426	0,329	0,291	0,251	0,230	0,205	0,198	0,202	0,199	0,197	0,143	0,000	0,000
7,000	-2,525	-2,318	-2,254	-2,201	-2,173	-2,152	-2,145	-2,139	-2,124	-2,121	-2,106	-2,089	-2,073	-2,035	-1,995	1,547	0,818	0,566	0,289	0,200	0,147	0,120	0,099	0,088	0,079	0,082	0,081	0,087	0,095	0,070	0,000	0,000
8,000	-15,163	-14,668	-14,463	-14,355	-14,314	-14,314	-14,330	-14,348	-14,377	-14,410	-14,437	-14,464	-14,472	-14,453	-14,426	2,205	1,325	0,903	0,405	0,250	0,119	0,064	0,013	-0,016	-0,031	-0,024	-0,012	0,000	0,038	0,042	0,000	0,000
