Device: PM2003001		2022:11:08    10:56:49,127  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:56:49,131
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,421	-13,522	-13,555	-13,653	-13,676	-13,694	-13,696	-13,707	-13,704	-13,706	-13,698	-13,674	-13,629	-13,532	-13,420	-0,343	-0,241	-0,200	-0,124	-0,097	-0,057	-0,033	-0,017	0,009	0,038	0,079	0,123	0,164	0,191	0,155	0,000	0,000
1,000	-17,424	-17,436	-17,366	-17,173	-17,052	-16,948	-16,892	-16,848	-16,806	-16,771	-16,727	-16,690	-16,635	-16,546	-16,432	-0,189	0,057	0,144	0,285	0,302	0,276	0,257	0,224	0,208	0,203	0,205	0,210	0,221	0,225	0,177	0,000	0,000
2,000	-10,743	-10,765	-10,751	-10,641	-10,548	-10,467	-10,425	-10,387	-10,340	-10,304	-10,250	-10,181	-10,086	-9,946	-9,785	-0,169	-0,028	0,051	0,192	0,220	0,216	0,218	0,215	0,229	0,235	0,263	0,304	0,318	0,323	0,247	0,000	0,000
3,000	-20,521	-20,344	-20,220	-19,883	-19,686	-19,545	-19,477	-19,420	-19,379	-19,369	-19,341	-19,312	-19,288	-19,232	-19,168	0,346	0,461	0,471	0,529	0,474	0,386	0,327	0,273	0,225	0,177	0,153	0,148	0,143	0,141	0,100	0,000	0,000
4,000	-5,613	-5,343	-5,107	-5,029	-4,970	-4,981	-4,975	-4,974	-4,972	-4,978	-4,962	-4,933	-4,863	-4,759	-4,621	1,692	1,120	0,757	0,373	0,246	0,175	0,140	0,114	0,105	0,118	0,143	0,182	0,228	0,244	0,205	0,000	0,000
5,000	-4,889	-4,344	-4,379	-4,218	-4,179	-4,143	-4,122	-4,120	-4,082	-4,076	-4,030	-3,965	-3,867	-3,690	-3,469	2,655	1,308	0,948	0,496	0,351	0,246	0,233	0,210	0,213	0,218	0,273	0,318	0,370	0,407	0,322	0,000	0,000
6,000	-7,591	-7,355	-7,181	-6,972	-6,850	-6,778	-6,734	-6,708	-6,661	-6,635	-6,593	-6,532	-6,456	-6,323	-6,169	0,678	0,592	0,515	0,403	0,349	0,290	0,261	0,241	0,230	0,225	0,251	0,274	0,297	0,309	0,234	0,000	0,000
7,000	-6,994	-6,967	-6,958	-6,888	-6,834	-6,813	-6,800	-6,780	-6,769	-6,765	-6,752	-6,733	-6,708	-6,656	-6,609	-0,058	0,017	0,050	0,096	0,092	0,075	0,075	0,073	0,066	0,069	0,079	0,084	0,096	0,103	0,077	0,000	0,000
8,000	-19,468	-19,676	-19,646	-19,766	-19,748	-19,805	-19,838	-19,865	-19,892	-19,953	-19,964	-19,986	-19,989	-19,951	-19,892	-0,318	-0,167	-0,171	-0,135	-0,118	-0,139	-0,132	-0,131	-0,122	-0,105	-0,063	-0,024	0,009	0,058	0,052	0,000	0,000
9,000	-9,446	-9,437	-9,390	-9,244	-9,116	-9,005	-8,944	-8,892	-8,836	-8,796	-8,729	-8,672	-8,595	-8,468	-8,326	0,015	0,100	0,165	0,292	0,319	0,302	0,291	0,275	0,259	0,261	0,269	0,285	0,297	0,298	0,228	0,000	0,000
10,000	-9,591	-9,560	-9,434	-9,266	-9,161	-9,119	-9,089	-9,076	-9,054	-9,057	-9,034	-9,003	-8,946	-8,853	-8,742	0,010	0,207	0,225	0,246	0,203	0,171	0,148	0,135	0,119	0,131	0,147	0,167	0,198	0,206	0,171	0,000	0,000
11,000	-10,181	-10,077	-10,037	-9,896	-9,809	-9,756	-9,725	-9,700	-9,670	-9,654	-9,609	-9,570	-9,506	-9,396	-9,268	0,167	0,175	0,190	0,224	0,216	0,175	0,173	0,163	0,163	0,164	0,191	0,214	0,237	0,247	0,190	0,000	0,000
12,000	-14,504	-14,493	-14,441	-14,379	-14,327	-14,300	-14,293	-14,279	-14,260	-14,269	-14,244	-14,205	-14,145	-14,028	-13,891	0,069	0,111	0,114	0,125	0,113	0,086	0,088	0,087	0,092	0,107	0,144	0,189	0,226	0,253	0,204	0,000	0,000
13,000	-8,486	-8,509	-8,499	-8,507	-8,497	-8,483	-8,474	-8,457	-8,430	-8,398	-8,344	-8,263	-8,162	-7,993	-7,780	-0,012	0,002	0,000	0,029	0,057	0,088	0,107	0,131	0,164	0,202	0,259	0,314	0,366	0,388	0,312	0,000	0,000
14,000	-11,859	-11,772	-11,817	-11,769	-11,769	-11,736	-11,721	-11,717	-11,700	-11,693	-11,678	-11,641	-11,554	-11,414	-11,214	-0,060	-0,067	-0,023	0,051	0,053	0,065	0,070	0,075	0,098	0,124	0,164	0,236	0,296	0,327	0,276	0,000	0,000
15,000	-9,071	-9,216	-9,120	-9,146	-9,099	-9,098	-9,092	-9,076	-9,060	-9,058	-9,032	-9,007	-8,961	-8,886	-8,803	-0,270	-0,030	-0,044	0,020	0,036	0,051	0,053	0,068	0,069	0,089	0,109	0,126	0,154	0,161	0,132	0,000	0,000
	run	2	2022:11:08    10:56:49,229
0,000	-13,382	-13,499	-13,540	-13,631	-13,651	-13,669	-13,680	-13,682	-13,681	-13,694	-13,685	-13,654	-13,610	-13,515	-13,408	-0,317	-0,242	-0,196	-0,125	-0,091	-0,063	-0,036	-0,012	0,001	0,034	0,077	0,122	0,157	0,193	0,152	0,000	0,000
1,000	-17,810	-17,844	-17,758	-17,576	-17,430	-17,325	-17,272	-17,221	-17,175	-17,155	-17,096	-17,060	-17,008	-16,916	-16,802	-0,179	0,057	0,142	0,299	0,307	0,283	0,269	0,238	0,225	0,207	0,214	0,216	0,224	0,224	0,171	0,000	0,000
2,000	-11,179	-11,199	-11,182	-11,032	-10,922	-10,844	-10,799	-10,760	-10,714	-10,675	-10,615	-10,547	-10,443	-10,292	-10,122	-0,162	0,000	0,092	0,225	0,248	0,230	0,240	0,233	0,244	0,252	0,281	0,315	0,343	0,344	0,265	0,000	0,000
3,000	-21,493	-21,273	-21,135	-20,720	-20,494	-20,355	-20,278	-20,225	-20,171	-20,167	-20,139	-20,109	-20,087	-20,024	-19,969	0,456	0,536	0,575	0,598	0,531	0,418	0,354	0,297	0,243	0,191	0,159	0,151	0,145	0,140	0,100	0,000	0,000
