Device: PM2003001		2022:11:08    11:26:12,040  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:26:12,043
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-10,018	-9,700	-9,607	-9,531	-9,503	-9,498	-9,489	-9,489	-9,476	-9,477	-9,468	-9,449	-9,408	-9,343	-9,260	1,303	0,777	0,543	0,258	0,178	0,129	0,100	0,088	0,078	0,083	0,094	0,114	0,136	0,147	0,115	0,000	0,000
1,000	-17,565	-17,636	-17,567	-17,410	-17,260	-17,159	-17,103	-17,053	-17,001	-16,977	-16,930	-16,892	-16,844	-16,776	-16,702	-0,273	0,003	0,098	0,260	0,296	0,272	0,258	0,237	0,218	0,193	0,189	0,180	0,179	0,175	0,122	0,000	0,000
2,000	-10,536	-10,552	-10,534	-10,400	-10,300	-10,226	-10,182	-10,141	-10,098	-10,068	-9,997	-9,928	-9,843	-9,703	-9,553	-0,064	0,035	0,117	0,225	0,235	0,222	0,223	0,226	0,233	0,241	0,258	0,286	0,311	0,313	0,233	0,000	0,000
3,000	-20,393	-20,416	-20,356	-20,078	-19,881	-19,749	-19,686	-19,620	-19,575	-19,562	-19,521	-19,492	-19,445	-19,352	-19,241	-0,057	0,157	0,247	0,421	0,423	0,354	0,316	0,270	0,240	0,200	0,192	0,205	0,208	0,217	0,163	0,000	0,000
4,000	-10,861	-10,924	-10,823	-10,816	-10,781	-10,780	-10,782	-10,774	-10,777	-10,756	-10,717	-10,650	-10,529	-10,334	-10,066	-0,260	-0,029	-0,023	0,039	0,048	0,055	0,073	0,091	0,123	0,173	0,254	0,339	0,410	0,459	0,382	0,000	0,000
5,000	-12,080	-12,096	-12,232	-12,270	-12,260	-12,251	-12,231	-12,234	-12,207	-12,210	-12,162	-12,078	-11,955	-11,717	-11,432	-0,105	-0,193	-0,144	-0,028	0,013	0,028	0,064	0,101	0,142	0,185	0,278	0,368	0,460	0,520	0,416	0,000	0,000
6,000	-8,464	-8,463	-8,371	-8,240	-8,144	-8,091	-8,060	-8,037	-7,997	-7,975	-7,916	-7,857	-7,771	-7,621	-7,443	-0,038	0,117	0,167	0,222	0,220	0,198	0,191	0,194	0,200	0,217	0,249	0,292	0,327	0,342	0,270	0,000	0,000
7,000	-6,846	-6,807	-6,803	-6,721	-6,677	-6,644	-6,629	-6,622	-6,596	-6,591	-6,575	-6,555	-6,529	-6,479	-6,420	0,058	0,050	0,075	0,128	0,113	0,083	0,087	0,086	0,079	0,084	0,087	0,095	0,104	0,112	0,080	0,000	0,000
8,000	-19,536	-19,719	-19,714	-19,836	-19,831	-19,885	-19,920	-19,954	-19,982	-20,026	-20,036	-20,048	-20,052	-20,003	-19,945	-0,317	-0,206	-0,191	-0,153	-0,132	-0,139	-0,138	-0,124	-0,109	-0,082	-0,040	-0,003	0,029	0,083	0,074	0,000	0,000
