Device: PM2003001		2022:11:08    11:40:33,899  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:40:33,901
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-9,824	-9,495	-9,384	-9,325	-9,308	-9,308	-9,305	-9,305	-9,296	-9,306	-9,304	-9,284	-9,262	-9,211	-9,159	1,342	0,796	0,546	0,249	0,163	0,103	0,080	0,067	0,062	0,051	0,060	0,081	0,098	0,108	0,083	0,000	0,000
1,000	-14,409	-13,985	-13,742	-13,404	-13,206	-13,071	-12,994	-12,939	-12,871	-12,837	-12,781	-12,739	-12,697	-12,641	-12,578	1,310	1,028	0,866	0,670	0,577	0,473	0,418	0,361	0,310	0,262	0,231	0,209	0,184	0,163	0,114	0,000	0,000
2,000	-10,451	-10,306	-10,220	-10,020	-9,896	-9,816	-9,771	-9,721	-9,670	-9,636	-9,575	-9,506	-9,430	-9,310	-9,181	0,266	0,311	0,323	0,331	0,316	0,277	0,271	0,258	0,262	0,251	0,265	0,281	0,280	0,280	0,205	0,000	0,000
3,000	-21,196	-21,223	-21,158	-20,858	-20,641	-20,517	-20,439	-20,391	-20,336	-20,334	-20,301	-20,270	-20,237	-20,155	-20,065	-0,184	0,124	0,249	0,426	0,423	0,358	0,309	0,259	0,225	0,180	0,169	0,178	0,177	0,180	0,133	0,000	0,000
4,000	-11,182	-11,326	-11,213	-11,235	-11,208	-11,207	-11,215	-11,208	-11,209	-11,191	-11,153	-11,093	-10,983	-10,799	-10,556	-0,413	-0,125	-0,089	-0,000	0,023	0,035	0,057	0,074	0,106	0,163	0,238	0,306	0,376	0,422	0,351	0,000	0,000
5,000	-12,425	-12,437	-12,588	-12,638	-12,629	-12,610	-12,597	-12,601	-12,572	-12,575	-12,531	-12,451	-12,324	-12,090	-11,796	-0,173	-0,248	-0,185	-0,043	-0,001	0,015	0,065	0,094	0,130	0,185	0,266	0,363	0,452	0,513	0,415	0,000	0,000
6,000	-8,525	-8,541	-8,447	-8,333	-8,235	-8,185	-8,154	-8,127	-8,090	-8,068	-8,008	-7,949	-7,862	-7,700	-7,522	-0,049	0,114	0,146	0,213	0,214	0,191	0,193	0,192	0,199	0,218	0,255	0,293	0,335	0,354	0,272	0,000	0,000
7,000	-7,001	-6,937	-6,920	-6,817	-6,762	-6,723	-6,709	-6,702	-6,677	-6,677	-6,667	-6,641	-6,616	-6,563	-6,504	0,095	0,078	0,118	0,145	0,121	0,101	0,099	0,088	0,084	0,081	0,089	0,095	0,107	0,112	0,090	0,000	0,000
8,000	-19,896	-20,095	-20,099	-20,253	-20,251	-20,305	-20,327	-20,358	-20,380	-20,428	-20,428	-20,442	-20,436	-20,386	-20,317	-0,321	-0,209	-0,215	-0,156	-0,133	-0,132	-0,116	-0,117	-0,095	-0,079	-0,032	0,014	0,041	0,090	0,081	0,000	0,000
9,000	-9,760	-9,682	-9,604	-9,371	-9,227	-9,115	-9,050	-9,001	-8,948	-8,908	-8,858	-8,799	-8,712	-8,581	-8,426	0,108	0,216	0,285	0,378	0,375	0,337	0,313	0,284	0,266	0,258	0,275	0,299	0,311	0,315	0,237	0,000	0,000
10,000	-9,722	-9,728	-9,594	-9,452	-9,369	-9,331	-9,303	-9,289	-9,263	-9,263	-9,234	-9,192	-9,122	-9,021	-8,896	-0,028	0,174	0,189	0,216	0,181	0,160	0,151	0,140	0,130	0,144	0,167	0,184	0,221	0,234	0,185	0,000	0,000
11,000	-9,777	-9,664	-9,623	-9,462	-9,384	-9,324	-9,294	-9,270	-9,236	-9,215	-9,173	-9,124	-9,056	-8,948	-8,807	0,164	0,191	0,203	0,229	0,216	0,187	0,180	0,173	0,169	0,177	0,208	0,229	0,251	0,266	0,202	0,000	0,000
12,000	-15,058	-15,093	-15,016	-14,978	-14,928	-14,901	-14,903	-14,891	-14,883	-14,895	-14,871	-14,835	-14,772	-14,659	-14,520	0,018	0,088	0,094	0,100	0,091	0,073	0,073	0,074	0,079	0,094	0,144	0,181	0,225	0,250	0,200	0,000	0,000
13,000	-8,452	-8,444	-8,448	-8,444	-8,421	-8,403	-8,388	-8,366	-8,339	-8,303	-8,252	-8,178	-8,064	-7,903	-7,693	-0,015	0,000	0,003	0,046	0,077	0,094	0,120	0,145	0,174	0,213	0,261	0,312	0,368	0,391	0,312	0,000	0,000
14,000	-11,952	-11,822	-11,922	-11,855	-11,853	-11,823	-11,807	-11,801	-11,789	-11,796	-11,770	-11,741	-11,666	-11,544	-11,363	-0,064	-0,110	-0,020	0,039	0,052	0,045	0,066	0,061	0,080	0,099	0,144	0,200	0,256	0,289	0,243	0,000	0,000
15,000	-7,917	-7,894	-7,744	-7,712	-7,654	-7,648	-7,641	-7,626	-7,609	-7,610	-7,597	-7,579	-7,548	-7,506	-7,461	0,386	0,374	0,245	0,161	0,124	0,106	0,092	0,084	0,078	0,076	0,079	0,079	0,097	0,097	0,077	0,000	0,000
	run	2	2022:11:08    11:40:33,949
0,000	-9,844	-9,535	-9,412	-9,356	-9,337	-9,336	-9,330	-9,328	-9,326	-9,332	-9,328	-9,313	-9,292	-9,239	-9,184	1,347	0,787	0,544	0,247	0,162	0,104	0,084	0,070	0,058	0,051	0,062	0,076	0,097	0,106	0,080	0,000	0,000
1,000	-14,303	-13,869	-13,648	-13,328	-13,135	-13,002	-12,930	-12,871	-12,806	-12,769	-12,718	-12,679	-12,633	-12,575	-12,507	1,303	0,989	0,837	0,638	0,556	0,467	0,411	0,352	0,309	0,262	0,237	0,205	0,182	0,165	0,117	0,000	0,000
2,000	-10,451	-10,306	-10,220	-10,020	-9,896	-9,816	-9,771	-9,721	-9,670	-9,636	-9,575	-9,506	-9,430	-9,310	-9,181	0,266	0,311	0,323	0,331	0,316	0,277	0,271	0,258	0,262	0,251	0,265	0,281	0,280	0,280	0,205	0,000	0,000
3,000	-21,196	-21,223	-21,158	-20,858	-20,641	-20,517	-20,439	-20,391	-20,336	-20,334	-20,301	-20,270	-20,237	-20,155	-20,065	-0,184	0,124	0,249	0,426	0,423	0,358	0,309	0,259	0,225	0,180	0,169	0,178	0,177	0,180	0,133	0,000	0,000
4,000	-11,182	-11,326	-11,213	-11,235	-11,208	-11,207	-11,215	-11,208	-11,209	-11,191	-11,153	-11,093	-10,983	-10,799	-10,556	-0,413	-0,125	-0,089	-0,000	0,023	0,035	0,057	0,074	0,106	0,163	0,238	0,306	0,376	0,422	0,351	0,000	0,000
5,000	-12,425	-12,437	-12,588	-12,638	-12,629	-12,610	-12,597	-12,601	-12,572	-12,575	-12,531	-12,451	-12,324	-12,090	-11,796	-0,173	-0,248	-0,185	-0,043	-0,001	0,015	0,065	0,094	0,130	0,185	0,266	0,363	0,452	0,513	0,415	0,000	0,000
6,000	-8,525	-8,541	-8,447	-8,333	-8,235	-8,185	-8,154	-8,127	-8,090	-8,068	-8,008	-7,949	-7,862	-7,700	-7,522	-0,049	0,114	0,146	0,213	0,214	0,191	0,193	0,192	0,199	0,218	0,255	0,293	0,335	0,354	0,272	0,000	0,000
7,000	-7,001	-6,937	-6,920	-6,817	-6,762	-6,723	-6,709	-6,702	-6,677	-6,677	-6,667	-6,641	-6,616	-6,563	-6,504	0,095	0,078	0,118	0,145	0,121	0,101	0,099	0,088	0,084	0,081	0,089	0,095	0,107	0,112	0,090	0,000	0,000
8,000	-20,027	-20,240	-20,266	-20,412	-20,407	-20,457	-20,484	-20,517	-20,536	-20,578	-20,590	-20,602	-20,592	-20,547	-20,476	-0,337	-0,230	-0,228	-0,170	-0,138	-0,132	-0,122	-0,119	-0,095	-0,073	-0,029	0,015	0,044	0,088	0,080	0,000	0,000
9,000	-9,779	-9,708	-9,620	-9,374	-9,228	-9,115	-9,051	-9,003	-8,952	-8,915	-8,857	-8,801	-8,711	-8,577	-8,424	0,138	0,224	0,309	0,386	0,377	0,330	0,312	0,284	0,272	0,265	0,284	0,294	0,313	0,322	0,239	0,000	0,000
10,000	-9,724	-9,703	-9,575	-9,421	-9,336	-9,294	-9,272	-9,262	-9,238	-9,222	-9,201	-9,157	-9,092	-8,990	-8,869	-0,016	0,194	0,207	0,225	0,181	0,155	0,144	0,141	0,131	0,147	0,167	0,189	0,225	0,239	0,187	0,000	0,000
11,000	-9,746	-9,628	-9,577	-9,423	-9,339	-9,276	-9,245	-9,225	-9,193	-9,167	-9,129	-9,086	-9,014	-8,899	-8,759	0,161	0,190	0,210	0,238	0,215	0,192	0,181	0,171	0,172	0,182	0,204	0,232	0,255	0,267	0,205	0,000	0,000
12,000	-15,198	-15,215	-15,156	-15,109	-15,058	-15,038	-15,035	-15,030	-15,013	-15,026	-14,999	-14,964	-14,909	-14,791	-14,646	-0,002	0,082	0,082	0,093	0,094	0,066	0,070	0,071	0,085	0,095	0,140	0,181	0,225	0,255	0,204	0,000	0,000
13,000	-8,472	-8,467	-8,470	-8,465	-8,444	-8,421	-8,411	-8,388	-8,359	-8,326	-8,273	-8,207	-8,092	-7,929	-7,707	-0,016	0,000	0,007	0,052	0,076	0,099	0,121	0,143	0,173	0,211	0,259	0,317	0,369	0,390	0,314	0,000	0,000
14,000	-12,071	-11,940	-12,024	-11,963	-11,963	-11,933	-11,919	-11,911	-11,900	-11,908	-11,882	-11,847	-11,770	-11,646	-11,475	-0,073	-0,112	-0,034	0,037	0,048	0,050	0,068	0,061	0,071	0,094	0,137	0,195	0,262	0,293	0,247	0,000	0,000
15,000	-8,001	-7,965	-7,811	-7,776	-7,721	-7,714	-7,706	-7,691	-7,676	-7,675	-7,658	-7,643	-7,615	-7,575	-7,529	0,385	0,375	0,250	0,161	0,117	0,104	0,088	0,081	0,072	0,076	0,080	0,083	0,090	0,093	0,076	0,000	0,000
	run	3	2022:11:08    11:40:34,049
0,000	-9,893	-9,584	-9,454	-9,404	-9,380	-9,373	-9,374	-9,372	-9,370	-9,378	-9,370	-9,361	-9,331	-9,285	-9,226	1,359	0,804	0,552	0,253	0,162	0,105	0,085	0,069	0,060	0,055	0,063	0,083	0,095	0,107	0,082	0,000	0,000
