Device: PM2003001		2022:11:08    11:32:56,443  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:32:56,446
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,505	-13,624	-13,664	-13,761	-13,781	-13,809	-13,817	-13,825	-13,825	-13,835	-13,830	-13,812	-13,768	-13,684	-13,582	-0,365	-0,258	-0,222	-0,137	-0,109	-0,073	-0,051	-0,029	-0,001	0,022	0,057	0,102	0,144	0,171	0,139	0,000	0,000
1,000	-17,105	-17,160	-17,085	-16,898	-16,733	-16,615	-16,550	-16,492	-16,435	-16,401	-16,343	-16,292	-16,245	-16,152	-16,056	-0,214	0,047	0,141	0,321	0,349	0,315	0,299	0,276	0,252	0,228	0,225	0,225	0,218	0,215	0,157	0,000	0,000
2,000	-10,754	-10,754	-10,731	-10,599	-10,490	-10,418	-10,369	-10,331	-10,276	-10,248	-10,182	-10,108	-10,024	-9,888	-9,748	-0,067	0,055	0,119	0,227	0,239	0,233	0,233	0,235	0,239	0,240	0,273	0,292	0,307	0,308	0,227	0,000	0,000
3,000	-20,277	-20,158	-20,028	-19,710	-19,495	-19,363	-19,291	-19,235	-19,183	-19,184	-19,154	-19,132	-19,107	-19,044	-18,987	0,309	0,415	0,462	0,515	0,477	0,389	0,332	0,274	0,224	0,174	0,151	0,153	0,141	0,143	0,102	0,000	0,000
4,000	-8,160	-7,832	-7,652	-7,557	-7,524	-7,524	-7,529	-7,523	-7,519	-7,509	-7,487	-7,445	-7,372	-7,247	-7,085	1,150	0,788	0,562	0,280	0,188	0,137	0,120	0,107	0,113	0,135	0,170	0,217	0,261	0,291	0,239	0,000	0,000
5,000	-8,559	-7,893	-7,793	-7,604	-7,536	-7,493	-7,472	-7,469	-7,427	-7,421	-7,375	-7,313	-7,208	-7,021	-6,793	2,152	1,228	0,895	0,488	0,359	0,265	0,243	0,226	0,224	0,225	0,276	0,336	0,384	0,421	0,335	0,000	0,000
6,000	-8,459	-8,259	-8,103	-7,897	-7,777	-7,712	-7,675	-7,643	-7,605	-7,576	-7,528	-7,460	-7,370	-7,233	-7,064	0,382	0,421	0,395	0,363	0,312	0,263	0,249	0,230	0,235	0,230	0,260	0,288	0,319	0,332	0,260	0,000	0,000
7,000	-7,138	-7,100	-7,085	-6,998	-6,941	-6,907	-6,885	-6,877	-6,857	-6,851	-6,837	-6,814	-6,789	-6,741	-6,686	0,033	0,041	0,094	0,134	0,126	0,100	0,096	0,083	0,079	0,073	0,080	0,100	0,102	0,108	0,078	0,000	0,000
8,000	-19,746	-19,974	-19,994	-20,129	-20,137	-20,194	-20,221	-20,250	-20,270	-20,326	-20,334	-20,351	-20,352	-20,298	-20,241	-0,346	-0,241	-0,245	-0,183	-0,147	-0,147	-0,137	-0,132	-0,110	-0,087	-0,039	-0,007	0,031	0,079	0,069	0,000	0,000
