Device: PM2003001		2022:11:08    11:11:11,485  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:11:11,489
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,371	-12,466	-12,469	-12,539	-12,548	-12,558	-12,568	-12,561	-12,558	-12,566	-12,559	-12,529	-12,489	-12,408	-12,303	-0,191	-0,120	-0,114	-0,072	-0,056	-0,032	-0,008	0,002	0,020	0,039	0,074	0,112	0,151	0,173	0,140	0,000	0,000
1,000	-16,010	-16,040	-15,972	-15,849	-15,737	-15,649	-15,597	-15,559	-15,514	-15,487	-15,434	-15,400	-15,340	-15,247	-15,144	-0,014	0,100	0,155	0,246	0,260	0,248	0,235	0,219	0,207	0,197	0,204	0,211	0,217	0,222	0,169	0,000	0,000
2,000	-10,006	-9,986	-9,954	-9,812	-9,697	-9,615	-9,573	-9,537	-9,486	-9,453	-9,394	-9,323	-9,227	-9,088	-8,926	0,077	0,132	0,171	0,258	0,265	0,245	0,245	0,240	0,245	0,249	0,279	0,305	0,326	0,328	0,249	0,000	0,000
3,000	-20,511	-20,482	-20,403	-20,101	-19,907	-19,772	-19,704	-19,641	-19,593	-19,578	-19,539	-19,499	-19,449	-19,340	-19,216	0,099	0,270	0,332	0,464	0,451	0,377	0,335	0,291	0,253	0,215	0,214	0,224	0,231	0,242	0,182	0,000	0,000
4,000	-11,014	-11,094	-10,999	-10,984	-10,949	-10,944	-10,948	-10,945	-10,941	-10,916	-10,877	-10,809	-10,674	-10,455	-10,165	-0,232	0,004	-0,001	0,045	0,053	0,069	0,081	0,099	0,127	0,189	0,278	0,361	0,450	0,507	0,419	0,000	0,000
5,000	-12,166	-12,082	-12,234	-12,261	-12,258	-12,232	-12,220	-12,220	-12,192	-12,191	-12,141	-12,062	-11,919	-11,671	-11,354	0,027	-0,153	-0,101	-0,005	0,027	0,044	0,079	0,112	0,156	0,203	0,295	0,384	0,493	0,552	0,449	0,000	0,000
6,000	-8,584	-8,612	-8,500	-8,376	-8,269	-8,219	-8,189	-8,158	-8,116	-8,096	-8,039	-7,984	-7,893	-7,741	-7,565	-0,049	0,115	0,152	0,224	0,223	0,197	0,198	0,192	0,200	0,211	0,253	0,287	0,327	0,344	0,270	0,000	0,000
7,000	-7,244	-7,184	-7,172	-7,077	-7,032	-7,002	-6,984	-6,973	-6,955	-6,950	-6,933	-6,917	-6,886	-6,831	-6,770	-0,002	0,040	0,068	0,119	0,100	0,088	0,088	0,084	0,080	0,082	0,084	0,101	0,114	0,119	0,088	0,000	0,000
8,000	-21,215	-21,488	-21,562	-21,725	-21,736	-21,793	-21,830	-21,864	-21,891	-21,950	-21,973	-21,987	-21,998	-21,945	-21,882	-0,542	-0,380	-0,343	-0,235	-0,184	-0,187	-0,174	-0,158	-0,140	-0,116	-0,067	-0,018	0,015	0,068	0,067	0,000	0,000
9,000	-10,359	-10,322	-10,248	-10,020	-9,876	-9,755	-9,690	-9,638	-9,586	-9,529	-9,475	-9,409	-9,321	-9,189	-9,027	-0,001	0,139	0,233	0,355	0,364	0,337	0,318	0,301	0,283	0,282	0,292	0,312	0,325	0,328	0,250	0,000	0,000
10,000	-10,477	-10,497	-10,355	-10,184	-10,078	-10,047	-10,019	-10,003	-9,980	-9,979	-9,957	-9,924	-9,863	-9,771	-9,654	-0,195	0,115	0,167	0,228	0,188	0,153	0,135	0,131	0,116	0,127	0,150	0,173	0,200	0,216	0,173	0,000	0,000
