Device: PM2003001		2022:11:08    10:55:25,778  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:55:25,780
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,146	-13,242	-13,282	-13,365	-13,386	-13,398	-13,405	-13,407	-13,410	-13,415	-13,403	-13,382	-13,339	-13,249	-13,143	-0,268	-0,217	-0,189	-0,109	-0,079	-0,051	-0,031	-0,013	0,014	0,035	0,075	0,113	0,156	0,182	0,146	0,000	0,000
1,000	-16,690	-16,705	-16,621	-16,434	-16,295	-16,201	-16,145	-16,104	-16,061	-16,032	-15,992	-15,955	-15,900	-15,814	-15,710	-0,006	0,156	0,204	0,311	0,309	0,277	0,261	0,227	0,212	0,196	0,197	0,202	0,201	0,209	0,160	0,000	0,000
2,000	-10,075	-10,081	-10,051	-9,939	-9,843	-9,769	-9,723	-9,694	-9,643	-9,612	-9,560	-9,496	-9,393	-9,257	-9,088	0,008	0,078	0,120	0,213	0,240	0,219	0,224	0,220	0,229	0,238	0,260	0,296	0,324	0,332	0,252	0,000	0,000
3,000	-19,963	-19,968	-19,939	-19,647	-19,455	-19,328	-19,262	-19,204	-19,151	-19,145	-19,101	-19,069	-19,016	-18,912	-18,792	0,058	0,185	0,277	0,425	0,422	0,356	0,311	0,273	0,237	0,207	0,209	0,219	0,224	0,237	0,177	0,000	0,000
4,000	-10,792	-10,927	-10,832	-10,829	-10,791	-10,800	-10,790	-10,789	-10,788	-10,775	-10,733	-10,668	-10,532	-10,326	-10,044	-0,321	-0,027	-0,034	0,031	0,035	0,070	0,077	0,090	0,119	0,180	0,265	0,338	0,438	0,489	0,403	0,000	0,000
5,000	-12,229	-12,139	-12,329	-12,340	-12,363	-12,332	-12,317	-12,323	-12,292	-12,287	-12,238	-12,153	-12,017	-11,776	-11,462	-0,017	-0,206	-0,138	-0,025	0,004	0,034	0,070	0,105	0,154	0,204	0,294	0,388	0,485	0,547	0,442	0,000	0,000
6,000	-8,586	-8,597	-8,500	-8,371	-8,274	-8,220	-8,183	-8,152	-8,118	-8,097	-8,041	-7,984	-7,903	-7,760	-7,586	-0,094	0,105	0,155	0,221	0,220	0,201	0,202	0,195	0,196	0,208	0,237	0,276	0,311	0,327	0,257	0,000	0,000
7,000	-6,995	-7,002	-6,964	-6,913	-6,857	-6,829	-6,820	-6,808	-6,789	-6,794	-6,773	-6,754	-6,733	-6,685	-6,635	-0,080	0,000	0,055	0,091	0,089	0,079	0,078	0,072	0,068	0,068	0,079	0,083	0,097	0,103	0,078	0,000	0,000
8,000	-19,963	-20,159	-20,183	-20,291	-20,285	-20,333	-20,368	-20,393	-20,423	-20,476	-20,499	-20,513	-20,511	-20,473	-20,413	-0,375	-0,222	-0,214	-0,144	-0,130	-0,146	-0,137	-0,135	-0,118	-0,104	-0,066	-0,017	0,017	0,057	0,056	0,000	0,000
9,000	-9,689	-9,684	-9,642	-9,480	-9,357	-9,244	-9,178	-9,126	-9,071	-9,027	-8,970	-8,910	-8,830	-8,707	-8,560	-0,015	0,074	0,153	0,291	0,322	0,298	0,290	0,277	0,263	0,259	0,268	0,281	0,295	0,295	0,221	0,000	0,000
10,000	-9,880	-9,895	-9,730	-9,570	-9,460	-9,423	-9,399	-9,378	-9,363	-9,368	-9,340	-9,313	-9,253	-9,161	-9,053	-0,110	0,175	0,198	0,236	0,196	0,169	0,144	0,134	0,116	0,125	0,139	0,162	0,196	0,208	0,165	0,000	0,000
11,000	-10,536	-10,437	-10,419	-10,271	-10,190	-10,133	-10,103	-10,077	-10,049	-10,033	-10,000	-9,950	-9,885	-9,778	-9,658	0,056	0,114	0,155	0,209	0,195	0,162	0,164	0,160	0,161	0,162	0,182	0,212	0,233	0,239	0,186	0,000	0,000
12,000	-15,187	-15,248	-15,186	-15,139	-15,082	-15,063	-15,056	-15,045	-15,032	-15,040	-15,019	-14,988	-14,938	-14,832	-14,710	-0,158	0,010	0,034	0,082	0,081	0,069	0,071	0,074	0,074	0,088	0,122	0,156	0,194	0,222	0,175	0,000	0,000
13,000	-7,944	-7,875	-7,830	-7,798	-7,769	-7,751	-7,737	-7,722	-7,695	-7,668	-7,619	-7,564	-7,475	-7,348	-7,184	0,364	0,238	0,180	0,121	0,110	0,116	0,124	0,140	0,151	0,178	0,224	0,254	0,292	0,304	0,240	0,000	0,000
14,000	-10,356	-9,903	-9,908	-9,729	-9,712	-9,675	-9,649	-9,651	-9,626	-9,622	-9,612	-9,569	-9,497	-9,379	-9,207	1,032	0,548	0,447	0,280	0,206	0,154	0,143	0,122	0,125	0,147	0,171	0,197	0,261	0,287	0,238	0,000	0,000
15,000	-8,994	-8,984	-8,910	-8,873	-8,839	-8,827	-8,822	-8,810	-8,791	-8,791	-8,771	-8,749	-8,708	-8,640	-8,567	0,025	0,121	0,080	0,088	0,072	0,069	0,071	0,072	0,074	0,087	0,100	0,115	0,139	0,143	0,118	0,000	0,000
	run	2	2022:11:08    10:55:25,881
