Device: PM2003001		2022:11:08    11:11:56,685  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:11:56,688
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,141	-13,238	-13,241	-13,335	-13,351	-13,370	-13,381	-13,383	-13,384	-13,391	-13,384	-13,361	-13,320	-13,239	-13,144	-0,222	-0,167	-0,142	-0,099	-0,081	-0,049	-0,026	-0,015	0,009	0,033	0,064	0,104	0,142	0,157	0,133	0,000	0,000
1,000	-17,274	-17,320	-17,250	-17,080	-16,934	-16,834	-16,782	-16,734	-16,682	-16,664	-16,615	-16,575	-16,523	-16,442	-16,348	-0,143	0,064	0,159	0,283	0,306	0,273	0,256	0,232	0,214	0,201	0,193	0,199	0,198	0,198	0,144	0,000	0,000
2,000	-10,542	-10,526	-10,500	-10,370	-10,260	-10,182	-10,141	-10,103	-10,046	-10,014	-9,954	-9,883	-9,788	-9,645	-9,484	-0,037	0,071	0,134	0,237	0,247	0,234	0,238	0,233	0,245	0,256	0,277	0,303	0,333	0,335	0,253	0,000	0,000
3,000	-20,793	-20,798	-20,726	-20,430	-20,220	-20,085	-20,015	-19,954	-19,903	-19,894	-19,856	-19,824	-19,775	-19,677	-19,567	-0,038	0,207	0,294	0,444	0,439	0,368	0,328	0,281	0,240	0,200	0,196	0,207	0,214	0,221	0,167	0,000	0,000
4,000	-11,143	-11,240	-11,147	-11,152	-11,123	-11,109	-11,113	-11,106	-11,108	-11,090	-11,055	-10,995	-10,865	-10,662	-10,400	-0,341	-0,050	-0,043	0,031	0,037	0,047	0,071	0,086	0,110	0,176	0,256	0,330	0,414	0,462	0,381	0,000	0,000
5,000	-12,475	-12,431	-12,576	-12,611	-12,615	-12,591	-12,577	-12,578	-12,547	-12,544	-12,500	-12,413	-12,287	-12,045	-11,746	-0,060	-0,196	-0,141	-0,033	0,017	0,034	0,075	0,103	0,148	0,188	0,277	0,375	0,472	0,528	0,426	0,000	0,000
6,000	-8,717	-8,712	-8,625	-8,487	-8,388	-8,327	-8,299	-8,265	-8,228	-8,208	-8,156	-8,095	-8,010	-7,860	-7,694	-0,061	0,122	0,159	0,233	0,230	0,198	0,204	0,193	0,201	0,208	0,248	0,283	0,317	0,337	0,258	0,000	0,000
7,000	-6,984	-6,942	-6,949	-6,878	-6,828	-6,796	-6,778	-6,775	-6,755	-6,750	-6,736	-6,718	-6,692	-6,643	-6,593	0,017	0,021	0,061	0,106	0,100	0,085	0,081	0,075	0,078	0,074	0,084	0,093	0,101	0,104	0,080	0,000	0,000
8,000	-19,638	-19,837	-19,855	-19,954	-19,942	-19,996	-20,032	-20,063	-20,091	-20,146	-20,159	-20,177	-20,186	-20,142	-20,078	-0,317	-0,198	-0,195	-0,148	-0,128	-0,144	-0,137	-0,135	-0,111	-0,097	-0,058	-0,006	0,025	0,066	0,066	0,000	0,000
9,000	-9,479	-9,455	-9,406	-9,245	-9,111	-9,000	-8,937	-8,879	-8,828	-8,782	-8,726	-8,670	-8,587	-8,466	-8,324	0,040	0,108	0,183	0,311	0,333	0,311	0,297	0,278	0,270	0,254	0,270	0,285	0,298	0,297	0,224	0,000	0,000
10,000	-9,334	-9,364	-9,238	-9,120	-9,028	-8,997	-8,974	-8,957	-8,936	-8,939	-8,913	-8,876	-8,820	-8,730	-8,621	-0,062	0,144	0,160	0,192	0,163	0,145	0,130	0,120	0,112	0,124	0,147	0,167	0,195	0,207	0,167	0,000	0,000
11,000	-9,957	-9,864	-9,824	-9,691	-9,613	-9,556	-9,528	-9,505	-9,474	-9,455	-9,411	-9,371	-9,303	-9,197	-9,071	0,114	0,149	0,169	0,211	0,202	0,169	0,167	0,155	0,163	0,163	0,193	0,214	0,239	0,248	0,190	0,000	0,000
12,000	-14,429	-14,509	-14,419	-14,395	-14,334	-14,315	-14,311	-14,301	-14,280	-14,287	-14,265	-14,229	-14,177	-14,058	-13,925	-0,079	0,049	0,055	0,088	0,090	0,073	0,077	0,081	0,086	0,101	0,144	0,178	0,214	0,244	0,189	0,000	0,000
13,000	-8,715	-8,699	-8,707	-8,725	-8,715	-8,698	-8,685	-8,674	-8,652	-8,616	-8,570	-8,505	-8,410	-8,261	-8,070	-0,049	-0,049	-0,032	0,014	0,044	0,066	0,094	0,114	0,146	0,185	0,234	0,281	0,329	0,351	0,278	0,000	0,000
14,000	-11,731	-11,499	-11,544	-11,426	-11,406	-11,372	-11,353	-11,345	-11,332	-11,329	-11,305	-11,276	-11,196	-11,076	-10,900	0,262	0,126	0,157	0,141	0,121	0,104	0,102	0,095	0,102	0,114	0,154	0,205	0,254	0,292	0,245	0,000	0,000
15,000	-8,381	-8,427	-8,297	-8,279	-8,225	-8,221	-8,215	-8,200	-8,184	-8,184	-8,176	-8,147	-8,107	-8,052	-7,986	0,122	0,209	0,133	0,104	0,086	0,084	0,076	0,079	0,073	0,082	0,091	0,104	0,126	0,128	0,107	0,000	0,000
	run	2	2022:11:08    11:11:56,737
0,000	-13,163	-13,271	-13,276	-13,370	-13,389	-13,406	-13,412	-13,416	-13,417	-13,422	-13,413	-13,388	-13,348	-13,267	-13,170	-0,240	-0,170	-0,156	-0,103	-0,081	-0,047	-0,030	-0,008	0,011	0,032	0,065	0,108	0,143	0,166	0,137	0,000	0,000
1,000	-17,308	-17,360	-17,287	-17,116	-16,970	-16,862	-16,810	-16,762	-16,713	-16,687	-16,642	-16,602	-16,552	-16,473	-16,381	-0,154	0,068	0,150	0,285	0,310	0,273	0,263	0,232	0,217	0,200	0,196	0,204	0,199	0,198	0,146	0,000	0,000
2,000	-10,542	-10,526	-10,500	-10,370	-10,260	-10,182	-10,141	-10,103	-10,046	-10,014	-9,954	-9,883	-9,788	-9,645	-9,484	-0,037	0,071	0,134	0,237	0,247	0,234	0,238	0,233	0,245	0,256	0,277	0,303	0,333	0,335	0,253	0,000	0,000
3,000	-20,793	-20,798	-20,726	-20,430	-20,220	-20,085	-20,015	-19,954	-19,903	-19,894	-19,856	-19,824	-19,775	-19,677	-19,567	-0,038	0,207	0,294	0,444	0,439	0,368	0,328	0,281	0,240	0,200	0,196	0,207	0,214	0,221	0,167	0,000	0,000
4,000	-11,143	-11,240	-11,147	-11,152	-11,123	-11,109	-11,113	-11,106	-11,108	-11,090	-11,055	-10,995	-10,865	-10,662	-10,400	-0,341	-0,050	-0,043	0,031	0,037	0,047	0,071	0,086	0,110	0,176	0,256	0,330	0,414	0,462	0,381	0,000	0,000
5,000	-12,475	-12,431	-12,576	-12,611	-12,615	-12,591	-12,577	-12,578	-12,547	-12,544	-12,500	-12,413	-12,287	-12,045	-11,746	-0,060	-0,196	-0,141	-0,033	0,017	0,034	0,075	0,103	0,148	0,188	0,277	0,375	0,472	0,528	0,426	0,000	0,000
