Device: PM2003001		2022:11:08    11:24:36,191  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:24:36,194
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,923	-12,983	-13,014	-13,076	-13,104	-13,115	-13,122	-13,129	-13,128	-13,132	-13,123	-13,091	-13,039	-12,947	-12,838	-0,155	-0,135	-0,118	-0,091	-0,065	-0,042	-0,020	-0,005	0,019	0,046	0,087	0,132	0,169	0,198	0,157	0,000	0,000
1,000	-16,996	-16,992	-16,902	-16,712	-16,554	-16,448	-16,387	-16,336	-16,286	-16,254	-16,196	-16,154	-16,091	-16,000	-15,878	0,023	0,185	0,238	0,339	0,343	0,316	0,290	0,260	0,245	0,232	0,231	0,238	0,238	0,241	0,183	0,000	0,000
2,000	-10,524	-10,497	-10,461	-10,297	-10,185	-10,107	-10,065	-10,025	-9,970	-9,945	-9,873	-9,792	-9,700	-9,540	-9,360	0,104	0,159	0,211	0,273	0,277	0,252	0,253	0,249	0,257	0,267	0,301	0,326	0,356	0,360	0,278	0,000	0,000
3,000	-20,818	-20,764	-20,686	-20,337	-20,124	-19,986	-19,914	-19,861	-19,807	-19,792	-19,754	-19,715	-19,672	-19,560	-19,438	0,187	0,319	0,392	0,515	0,483	0,395	0,341	0,298	0,250	0,215	0,211	0,227	0,234	0,249	0,188	0,000	0,000
4,000	-11,131	-11,193	-11,080	-11,088	-11,062	-11,053	-11,065	-11,057	-11,051	-11,028	-10,991	-10,915	-10,776	-10,545	-10,252	-0,201	0,015	-0,001	0,042	0,053	0,071	0,086	0,098	0,141	0,201	0,285	0,372	0,467	0,520	0,432	0,000	0,000
5,000	-12,595	-12,532	-12,697	-12,710	-12,704	-12,677	-12,661	-12,665	-12,636	-12,631	-12,584	-12,487	-12,345	-12,070	-11,730	0,052	-0,130	-0,090	0,009	0,034	0,054	0,089	0,128	0,169	0,216	0,318	0,420	0,531	0,588	0,484	0,000	0,000
6,000	-8,862	-8,833	-8,729	-8,587	-8,494	-8,439	-8,410	-8,376	-8,335	-8,314	-8,266	-8,196	-8,106	-7,944	-7,755	-0,010	0,143	0,194	0,245	0,231	0,203	0,207	0,194	0,208	0,222	0,257	0,307	0,345	0,361	0,285	0,000	0,000
7,000	-7,252	-7,224	-7,194	-7,116	-7,055	-7,017	-7,000	-6,989	-6,966	-6,961	-6,949	-6,922	-6,901	-6,843	-6,781	-0,035	0,040	0,077	0,128	0,121	0,105	0,099	0,089	0,086	0,082	0,086	0,098	0,110	0,114	0,088	0,000	0,000
8,000	-20,359	-20,607	-20,613	-20,778	-20,792	-20,853	-20,897	-20,929	-20,952	-21,009	-21,019	-21,034	-21,035	-20,992	-20,927	-0,507	-0,323	-0,294	-0,221	-0,177	-0,178	-0,169	-0,155	-0,127	-0,104	-0,061	-0,009	0,020	0,067	0,067	0,000	0,000
