Device: PM2003001		2022:11:08    11:15:15,288  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:15:15,291
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,489	-13,581	-13,602	-13,688	-13,716	-13,732	-13,743	-13,742	-13,745	-13,749	-13,733	-13,704	-13,658	-13,561	-13,446	-0,300	-0,208	-0,183	-0,117	-0,085	-0,049	-0,028	-0,010	0,018	0,043	0,081	0,129	0,169	0,197	0,160	0,000	0,000
1,000	-17,498	-17,518	-17,437	-17,243	-17,095	-16,990	-16,924	-16,885	-16,832	-16,803	-16,759	-16,717	-16,659	-16,558	-16,445	-0,102	0,107	0,187	0,313	0,327	0,298	0,286	0,248	0,231	0,219	0,225	0,226	0,234	0,235	0,179	0,000	0,000
2,000	-10,739	-10,751	-10,731	-10,593	-10,496	-10,413	-10,366	-10,329	-10,282	-10,243	-10,176	-10,108	-10,006	-9,850	-9,677	-0,049	0,057	0,132	0,238	0,242	0,231	0,242	0,239	0,245	0,262	0,291	0,325	0,348	0,357	0,269	0,000	0,000
3,000	-21,334	-21,431	-21,381	-21,086	-20,872	-20,745	-20,671	-20,616	-20,564	-20,555	-20,515	-20,486	-20,437	-20,338	-20,229	-0,238	0,080	0,217	0,420	0,417	0,353	0,307	0,270	0,235	0,194	0,194	0,205	0,211	0,225	0,167	0,000	0,000
4,000	-10,476	-10,440	-10,304	-10,293	-10,265	-10,265	-10,277	-10,272	-10,277	-10,271	-10,253	-10,212	-10,127	-9,993	-9,824	0,141	0,258	0,147	0,088	0,053	0,057	0,059	0,064	0,075	0,113	0,164	0,214	0,269	0,304	0,250	0,000	0,000
5,000	-6,848	-6,169	-6,171	-5,995	-5,954	-5,913	-5,887	-5,877	-5,852	-5,838	-5,804	-5,747	-5,643	-5,477	-5,262	2,452	1,261	0,921	0,494	0,352	0,251	0,231	0,207	0,211	0,211	0,256	0,309	0,365	0,390	0,314	0,000	0,000
6,000	-5,269	-4,874	-4,680	-4,477	-4,375	-4,311	-4,287	-4,256	-4,229	-4,205	-4,161	-4,123	-4,053	-3,944	-3,808	1,463	0,983	0,758	0,485	0,380	0,296	0,259	0,226	0,210	0,201	0,213	0,231	0,261	0,263	0,205	0,000	0,000
7,000	-6,760	-6,697	-6,688	-6,635	-6,599	-6,573	-6,554	-6,544	-6,532	-6,528	-6,511	-6,498	-6,475	-6,432	-6,392	0,046	0,035	0,059	0,098	0,085	0,069	0,067	0,068	0,068	0,062	0,067	0,080	0,083	0,089	0,063	0,000	0,000
8,000	-18,835	-19,035	-19,017	-19,106	-19,099	-19,143	-19,177	-19,197	-19,224	-19,276	-19,288	-19,304	-19,304	-19,271	-19,212	-0,367	-0,195	-0,173	-0,118	-0,112	-0,124	-0,123	-0,116	-0,109	-0,092	-0,044	-0,009	0,021	0,058	0,055	0,000	0,000
