Device: PM2003001		2022:11:08    10:57:04,827  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:57:04,829
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,287	-13,390	-13,399	-13,482	-13,500	-13,512	-13,521	-13,525	-13,524	-13,535	-13,524	-13,504	-13,468	-13,391	-13,293	-0,329	-0,197	-0,172	-0,099	-0,080	-0,053	-0,025	-0,019	0,004	0,025	0,059	0,099	0,143	0,161	0,129	0,000	0,000
1,000	-17,010	-17,036	-16,978	-16,827	-16,710	-16,616	-16,562	-16,515	-16,475	-16,452	-16,405	-16,373	-16,318	-16,235	-16,139	-0,170	0,039	0,122	0,253	0,270	0,253	0,243	0,217	0,198	0,193	0,193	0,191	0,198	0,206	0,157	0,000	0,000
2,000	-10,071	-10,109	-10,092	-10,007	-9,904	-9,837	-9,791	-9,759	-9,712	-9,681	-9,633	-9,563	-9,482	-9,354	-9,206	-0,109	0,003	0,070	0,188	0,210	0,204	0,213	0,207	0,215	0,220	0,255	0,275	0,298	0,299	0,228	0,000	0,000
3,000	-19,930	-20,018	-20,008	-19,785	-19,611	-19,494	-19,429	-19,376	-19,325	-19,313	-19,278	-19,247	-19,197	-19,114	-19,015	-0,247	0,009	0,121	0,330	0,351	0,305	0,277	0,244	0,212	0,184	0,177	0,188	0,190	0,199	0,151	0,000	0,000
4,000	-10,588	-10,716	-10,621	-10,607	-10,569	-10,573	-10,574	-10,572	-10,573	-10,563	-10,537	-10,487	-10,383	-10,224	-10,013	-0,356	-0,034	-0,042	0,015	0,020	0,046	0,055	0,067	0,084	0,133	0,203	0,255	0,328	0,372	0,307	0,000	0,000
5,000	-10,760	-10,533	-10,684	-10,665	-10,679	-10,641	-10,628	-10,632	-10,605	-10,586	-10,554	-10,480	-10,368	-10,169	-9,912	0,503	0,094	0,076	0,075	0,070	0,072	0,094	0,117	0,149	0,185	0,247	0,325	0,411	0,449	0,362	0,000	0,000
6,000	-8,068	-7,997	-7,887	-7,728	-7,620	-7,554	-7,526	-7,492	-7,453	-7,435	-7,383	-7,326	-7,249	-7,107	-6,952	0,248	0,299	0,288	0,286	0,269	0,228	0,226	0,213	0,206	0,213	0,243	0,263	0,300	0,310	0,242	0,000	0,000
7,000	-6,977	-6,934	-6,938	-6,844	-6,797	-6,773	-6,755	-6,744	-6,729	-6,727	-6,709	-6,692	-6,662	-6,617	-6,561	0,014	0,033	0,074	0,116	0,104	0,087	0,078	0,073	0,074	0,068	0,084	0,094	0,103	0,110	0,080	0,000	0,000
8,000	-20,308	-20,493	-20,529	-20,636	-20,631	-20,676	-20,716	-20,746	-20,770	-20,824	-20,841	-20,852	-20,854	-20,807	-20,751	-0,302	-0,197	-0,193	-0,137	-0,130	-0,141	-0,135	-0,129	-0,109	-0,091	-0,054	-0,013	0,016	0,069	0,071	0,000	0,000
9,000	-9,721	-9,671	-9,612	-9,428	-9,283	-9,173	-9,103	-9,055	-8,994	-8,953	-8,900	-8,842	-8,752	-8,631	-8,482	0,065	0,131	0,219	0,335	0,347	0,317	0,306	0,282	0,273	0,262	0,271	0,288	0,298	0,301	0,227	0,000	0,000
10,000	-9,793	-9,795	-9,642	-9,486	-9,376	-9,327	-9,308	-9,289	-9,270	-9,267	-9,251	-9,221	-9,162	-9,066	-8,956	-0,028	0,204	0,211	0,248	0,210	0,168	0,147	0,136	0,120	0,123	0,148	0,165	0,200	0,215	0,173	0,000	0,000
11,000	-10,051	-9,929	-9,897	-9,749	-9,671	-9,606	-9,573	-9,553	-9,519	-9,501	-9,466	-9,418	-9,352	-9,243	-9,120	0,146	0,175	0,196	0,228	0,216	0,183	0,175	0,164	0,166	0,173	0,192	0,220	0,238	0,244	0,188	0,000	0,000
12,000	-14,262	-14,324	-14,220	-14,193	-14,130	-14,109	-14,103	-14,094	-14,073	-14,086	-14,061	-14,021	-13,966	-13,847	-13,707	-0,032	0,082	0,084	0,106	0,096	0,084	0,088	0,081	0,090	0,100	0,138	0,179	0,221	0,249	0,202	0,000	0,000
13,000	-8,727	-8,694	-8,740	-8,731	-8,726	-8,710	-8,693	-8,675	-8,653	-8,621	-8,572	-8,497	-8,386	-8,227	-8,015	-0,026	-0,031	-0,029	0,028	0,055	0,076	0,104	0,126	0,161	0,204	0,253	0,309	0,361	0,384	0,303	0,000	0,000
14,000	-12,284	-12,212	-12,257	-12,205	-12,186	-12,167	-12,151	-12,138	-12,130	-12,131	-12,103	-12,069	-11,986	-11,854	-11,655	-0,140	-0,104	-0,037	0,038	0,051	0,055	0,068	0,069	0,092	0,119	0,167	0,213	0,287	0,322	0,272	0,000	0,000
