Device: PM2003001		2022:11:08    11:50:11,703  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:50:11,706
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,858	-12,926	-12,954	-13,045	-13,063	-13,078	-13,095	-13,101	-13,099	-13,116	-13,105	-13,080	-13,046	-12,963	-12,866	-0,194	-0,166	-0,154	-0,105	-0,089	-0,062	-0,036	-0,018	0,001	0,023	0,056	0,100	0,137	0,157	0,129	0,000	0,000
1,000	-16,176	-16,158	-16,075	-15,873	-15,711	-15,594	-15,522	-15,464	-15,398	-15,369	-15,308	-15,261	-15,206	-15,112	-15,019	0,063	0,207	0,270	0,373	0,379	0,338	0,324	0,293	0,266	0,243	0,234	0,232	0,225	0,228	0,163	0,000	0,000
2,000	-9,770	-9,756	-9,731	-9,625	-9,530	-9,460	-9,418	-9,385	-9,329	-9,303	-9,236	-9,167	-9,081	-8,945	-8,799	0,043	0,088	0,143	0,217	0,227	0,221	0,226	0,230	0,232	0,237	0,265	0,285	0,310	0,310	0,231	0,000	0,000
3,000	-19,442	-19,434	-19,373	-19,115	-18,918	-18,798	-18,727	-18,679	-18,623	-18,608	-18,576	-18,538	-18,491	-18,385	-18,275	0,068	0,222	0,275	0,423	0,424	0,350	0,314	0,268	0,238	0,202	0,195	0,211	0,219	0,227	0,174	0,000	0,000
4,000	-10,492	-10,533	-10,441	-10,429	-10,396	-10,394	-10,394	-10,394	-10,382	-10,369	-10,326	-10,266	-10,144	-9,949	-9,684	-0,156	0,024	0,018	0,051	0,059	0,065	0,078	0,089	0,121	0,173	0,258	0,332	0,408	0,455	0,376	0,000	0,000
5,000	-11,994	-12,023	-12,112	-12,175	-12,146	-12,137	-12,122	-12,122	-12,093	-12,095	-12,059	-11,967	-11,853	-11,614	-11,334	-0,101	-0,156	-0,128	-0,021	0,021	0,033	0,066	0,098	0,140	0,181	0,269	0,364	0,446	0,506	0,406	0,000	0,000
6,000	-8,701	-8,669	-8,588	-8,456	-8,356	-8,301	-8,269	-8,241	-8,203	-8,177	-8,126	-8,064	-7,971	-7,827	-7,649	-0,003	0,125	0,154	0,231	0,219	0,199	0,198	0,193	0,206	0,223	0,249	0,291	0,322	0,344	0,262	0,000	0,000
7,000	-7,391	-7,307	-7,284	-7,166	-7,106	-7,077	-7,049	-7,042	-7,021	-7,015	-7,000	-6,981	-6,951	-6,898	-6,836	0,049	0,090	0,135	0,161	0,133	0,107	0,095	0,090	0,086	0,087	0,092	0,105	0,111	0,119	0,095	0,000	0,000
8,000	-21,177	-21,536	-21,553	-21,776	-21,770	-21,829	-21,860	-21,889	-21,912	-21,956	-21,963	-21,983	-21,983	-21,934	-21,870	-0,672	-0,434	-0,399	-0,262	-0,193	-0,171	-0,150	-0,137	-0,114	-0,090	-0,046	-0,005	0,030	0,078	0,068	0,000	0,000
9,000	-10,370	-10,284	-10,188	-9,943	-9,785	-9,679	-9,621	-9,576	-9,524	-9,490	-9,427	-9,374	-9,275	-9,147	-8,985	0,046	0,217	0,292	0,377	0,369	0,328	0,303	0,286	0,264	0,253	0,283	0,299	0,321	0,323	0,244	0,000	0,000
10,000	-10,448	-10,458	-10,333	-10,198	-10,103	-10,073	-10,051	-10,030	-10,002	-9,994	-9,968	-9,928	-9,871	-9,769	-9,656	-0,166	0,102	0,148	0,198	0,163	0,143	0,135	0,131	0,128	0,135	0,159	0,183	0,214	0,230	0,180	0,000	0,000
11,000	-10,250	-10,161	-10,120	-9,964	-9,884	-9,826	-9,793	-9,772	-9,741	-9,718	-9,678	-9,629	-9,566	-9,464	-9,340	0,011	0,102	0,153	0,206	0,203	0,175	0,173	0,161	0,163	0,172	0,191	0,216	0,238	0,245	0,186	0,000	0,000
12,000	-15,582	-15,512	-15,448	-15,376	-15,322	-15,303	-15,299	-15,301	-15,290	-15,302	-15,284	-15,258	-15,226	-15,134	-15,034	0,044	0,115	0,125	0,119	0,092	0,068	0,067	0,058	0,062	0,069	0,100	0,127	0,156	0,185	0,151	0,000	0,000
