Device: PM2003001		2022:11:08    10:49:06,575  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:49:06,577
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,846	-12,928	-12,937	-13,012	-13,030	-13,040	-13,047	-13,044	-13,043	-13,054	-13,042	-13,012	-12,967	-12,880	-12,765	-0,189	-0,128	-0,120	-0,078	-0,061	-0,032	-0,014	0,001	0,022	0,040	0,080	0,127	0,166	0,188	0,152	0,000	0,000
1,000	-16,831	-16,791	-16,707	-16,505	-16,365	-16,259	-16,208	-16,160	-16,116	-16,088	-16,042	-16,002	-15,946	-15,856	-15,744	0,091	0,222	0,242	0,340	0,340	0,294	0,278	0,237	0,222	0,208	0,209	0,214	0,221	0,231	0,183	0,000	0,000
2,000	-10,187	-10,163	-10,136	-10,012	-9,911	-9,828	-9,785	-9,749	-9,706	-9,672	-9,614	-9,551	-9,450	-9,304	-9,131	0,035	0,113	0,151	0,242	0,253	0,226	0,237	0,222	0,226	0,238	0,273	0,307	0,336	0,339	0,263	0,000	0,000
3,000	-20,286	-20,283	-20,214	-19,904	-19,693	-19,562	-19,491	-19,436	-19,380	-19,368	-19,322	-19,280	-19,227	-19,113	-18,987	0,112	0,276	0,333	0,477	0,456	0,382	0,332	0,296	0,259	0,223	0,225	0,239	0,247	0,253	0,188	0,000	0,000
4,000	-10,770	-10,895	-10,791	-10,778	-10,732	-10,749	-10,747	-10,737	-10,728	-10,717	-10,676	-10,602	-10,467	-10,234	-9,932	-0,309	0,011	0,002	0,046	0,049	0,069	0,081	0,108	0,130	0,193	0,278	0,369	0,471	0,522	0,430	0,000	0,000
5,000	-12,152	-12,025	-12,201	-12,211	-12,232	-12,205	-12,177	-12,187	-12,161	-12,146	-12,099	-12,015	-11,865	-11,613	-11,281	0,089	-0,157	-0,096	0,001	0,031	0,043	0,087	0,117	0,166	0,216	0,309	0,407	0,509	0,575	0,471	0,000	0,000
6,000	-8,794	-8,807	-8,699	-8,562	-8,460	-8,404	-8,375	-8,349	-8,304	-8,280	-8,239	-8,180	-8,093	-7,958	-7,796	-0,098	0,113	0,153	0,233	0,223	0,200	0,198	0,189	0,199	0,201	0,234	0,273	0,300	0,321	0,247	0,000	0,000
7,000	-7,218	-7,126	-7,101	-7,003	-6,952	-6,913	-6,900	-6,893	-6,883	-6,876	-6,865	-6,854	-6,838	-6,808	-6,772	0,041	0,088	0,118	0,136	0,116	0,088	0,082	0,070	0,063	0,057	0,060	0,064	0,066	0,069	0,053	0,000	0,000
8,000	-19,922	-19,671	-19,543	-19,476	-19,432	-19,458	-19,481	-19,497	-19,519	-19,568	-19,588	-19,612	-19,634	-19,636	-19,628	0,722	0,530	0,369	0,159	0,070	-0,006	-0,027	-0,053	-0,066	-0,082	-0,067	-0,051	-0,039	-0,013	-0,006	0,000	0,000
