Device: PM2003001		2022:11:08    11:00:40,681  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:00:40,683
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,363	-13,479	-13,519	-13,612	-13,636	-13,652	-13,660	-13,662	-13,667	-13,671	-13,664	-13,633	-13,588	-13,499	-13,388	-0,330	-0,239	-0,193	-0,122	-0,090	-0,065	-0,037	-0,019	0,009	0,031	0,074	0,117	0,161	0,190	0,154	0,000	0,000
1,000	-17,350	-17,384	-17,299	-17,137	-16,997	-16,887	-16,836	-16,791	-16,750	-16,718	-16,675	-16,636	-16,578	-16,493	-16,371	-0,163	0,059	0,144	0,278	0,300	0,273	0,256	0,228	0,213	0,202	0,209	0,214	0,220	0,232	0,177	0,000	0,000
2,000	-10,667	-10,697	-10,676	-10,574	-10,474	-10,396	-10,355	-10,315	-10,271	-10,237	-10,178	-10,105	-10,010	-9,856	-9,698	-0,160	-0,010	0,071	0,197	0,219	0,215	0,226	0,218	0,230	0,241	0,271	0,307	0,335	0,340	0,258	0,000	0,000
3,000	-21,426	-21,373	-21,324	-21,008	-20,804	-20,668	-20,596	-20,540	-20,491	-20,483	-20,449	-20,414	-20,382	-20,296	-20,204	-0,129	0,158	0,273	0,432	0,430	0,348	0,310	0,262	0,226	0,188	0,175	0,184	0,186	0,187	0,141	0,000	0,000
4,000	-8,107	-7,818	-7,595	-7,490	-7,433	-7,443	-7,444	-7,436	-7,429	-7,434	-7,412	-7,384	-7,324	-7,221	-7,093	1,178	0,899	0,616	0,323	0,206	0,149	0,123	0,109	0,105	0,114	0,134	0,173	0,207	0,232	0,188	0,000	0,000
5,000	-5,124	-4,561	-4,597	-4,423	-4,388	-4,355	-4,331	-4,329	-4,301	-4,284	-4,249	-4,187	-4,074	-3,903	-3,677	2,598	1,277	0,931	0,494	0,350	0,250	0,224	0,210	0,213	0,220	0,270	0,321	0,376	0,405	0,327	0,000	0,000
6,000	-6,084	-5,821	-5,645	-5,445	-5,326	-5,258	-5,222	-5,188	-5,155	-5,123	-5,083	-5,030	-4,954	-4,829	-4,680	1,071	0,787	0,629	0,448	0,371	0,300	0,270	0,237	0,226	0,217	0,241	0,261	0,282	0,293	0,225	0,000	0,000
7,000	-7,065	-7,023	-7,019	-6,952	-6,904	-6,878	-6,867	-6,850	-6,838	-6,835	-6,820	-6,802	-6,773	-6,730	-6,680	-0,047	0,019	0,050	0,099	0,087	0,073	0,075	0,075	0,070	0,074	0,074	0,088	0,091	0,105	0,081	0,000	0,000
8,000	-19,682	-19,898	-19,884	-19,992	-19,977	-20,029	-20,067	-20,090	-20,112	-20,174	-20,194	-20,210	-20,216	-20,180	-20,127	-0,320	-0,167	-0,178	-0,133	-0,121	-0,134	-0,137	-0,134	-0,118	-0,104	-0,065	-0,022	0,017	0,056	0,053	0,000	0,000
