Device: PM2003001		2022:11:08    11:48:03,302  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:48:03,305
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,979	-13,084	-13,109	-13,191	-13,214	-13,235	-13,246	-13,253	-13,257	-13,267	-13,262	-13,243	-13,200	-13,118	-13,022	-0,273	-0,204	-0,168	-0,120	-0,092	-0,064	-0,043	-0,025	-0,004	0,021	0,055	0,100	0,142	0,163	0,133	0,000	0,000
1,000	-16,380	-16,393	-16,331	-16,146	-15,990	-15,875	-15,808	-15,749	-15,682	-15,649	-15,595	-15,542	-15,490	-15,395	-15,291	-0,048	0,130	0,200	0,328	0,353	0,323	0,312	0,279	0,267	0,238	0,234	0,227	0,229	0,219	0,158	0,000	0,000
2,000	-10,013	-10,037	-10,007	-9,902	-9,803	-9,736	-9,691	-9,657	-9,603	-9,573	-9,515	-9,447	-9,359	-9,223	-9,078	-0,043	0,038	0,101	0,210	0,226	0,213	0,225	0,220	0,228	0,232	0,266	0,288	0,307	0,309	0,233	0,000	0,000
3,000	-19,991	-20,062	-20,024	-19,783	-19,592	-19,471	-19,401	-19,346	-19,292	-19,284	-19,251	-19,218	-19,172	-19,082	-18,983	-0,176	0,067	0,180	0,373	0,389	0,327	0,293	0,252	0,225	0,187	0,179	0,196	0,200	0,208	0,158	0,000	0,000
4,000	-10,493	-10,534	-10,451	-10,452	-10,424	-10,426	-10,429	-10,433	-10,428	-10,422	-10,399	-10,349	-10,262	-10,121	-9,931	-0,187	0,001	-0,002	0,028	0,036	0,035	0,045	0,052	0,081	0,122	0,179	0,237	0,293	0,328	0,268	0,000	0,000
5,000	-8,302	-7,967	-7,978	-7,925	-7,893	-7,864	-7,854	-7,844	-7,817	-7,819	-7,782	-7,727	-7,639	-7,476	-7,284	1,346	0,659	0,449	0,258	0,190	0,142	0,145	0,140	0,160	0,173	0,217	0,273	0,326	0,356	0,279	0,000	0,000
6,000	-5,688	-5,346	-5,191	-4,984	-4,892	-4,831	-4,797	-4,767	-4,738	-4,712	-4,670	-4,615	-4,540	-4,417	-4,261	1,266	0,858	0,679	0,434	0,354	0,286	0,258	0,230	0,217	0,210	0,240	0,259	0,284	0,298	0,229	0,000	0,000
7,000	-7,165	-7,051	-7,035	-6,911	-6,858	-6,815	-6,800	-6,787	-6,773	-6,769	-6,748	-6,733	-6,708	-6,668	-6,614	0,131	0,123	0,151	0,165	0,138	0,107	0,099	0,093	0,087	0,076	0,086	0,093	0,098	0,102	0,077	0,000	0,000
8,000	-20,796	-21,062	-21,088	-21,268	-21,263	-21,314	-21,342	-21,366	-21,385	-21,432	-21,437	-21,450	-21,446	-21,399	-21,332	-0,474	-0,332	-0,309	-0,208	-0,158	-0,152	-0,130	-0,122	-0,094	-0,082	-0,038	0,003	0,039	0,085	0,076	0,000	0,000
9,000	-10,079	-9,989	-9,898	-9,640	-9,493	-9,383	-9,319	-9,273	-9,230	-9,190	-9,141	-9,073	-8,989	-8,857	-8,701	0,132	0,261	0,316	0,394	0,383	0,332	0,312	0,281	0,268	0,259	0,270	0,293	0,316	0,318	0,244	0,000	0,000
10,000	-9,989	-9,974	-9,829	-9,674	-9,578	-9,537	-9,520	-9,501	-9,477	-9,472	-9,441	-9,402	-9,332	-9,229	-9,103	-0,038	0,197	0,215	0,227	0,185	0,167	0,150	0,139	0,142	0,149	0,167	0,192	0,231	0,243	0,192	0,000	0,000
