Device: PM2003001		2022:11:08    10:54:11,226  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:54:11,230
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,694	-13,860	-13,862	-13,993	-14,020	-14,034	-14,046	-14,050	-14,050	-14,062	-14,053	-14,022	-13,973	-13,874	-13,755	-0,404	-0,259	-0,234	-0,142	-0,104	-0,065	-0,043	-0,021	0,005	0,040	0,079	0,129	0,175	0,199	0,159	0,000	0,000
1,000	-18,122	-18,095	-18,015	-17,789	-17,613	-17,510	-17,445	-17,399	-17,346	-17,315	-17,270	-17,231	-17,178	-17,081	-16,970	-0,009	0,183	0,256	0,359	0,367	0,318	0,292	0,256	0,232	0,220	0,215	0,223	0,223	0,233	0,177	0,000	0,000
2,000	-11,265	-11,243	-11,227	-11,070	-10,969	-10,895	-10,843	-10,812	-10,759	-10,723	-10,658	-10,578	-10,460	-10,289	-10,081	-0,049	0,057	0,147	0,241	0,257	0,242	0,251	0,243	0,253	0,272	0,310	0,355	0,397	0,407	0,317	0,000	0,000
3,000	-22,300	-22,226	-22,115	-21,742	-21,525	-21,386	-21,317	-21,263	-21,210	-21,201	-21,169	-21,132	-21,077	-20,961	-20,850	0,049	0,311	0,402	0,527	0,482	0,390	0,345	0,291	0,248	0,210	0,209	0,221	0,235	0,243	0,190	0,000	0,000
4,000	-11,748	-11,911	-11,803	-11,823	-11,790	-11,805	-11,801	-11,799	-11,794	-11,781	-11,751	-11,685	-11,558	-11,370	-11,107	-0,371	-0,042	-0,059	-0,005	0,014	0,048	0,061	0,078	0,109	0,160	0,244	0,319	0,401	0,451	0,374	0,000	0,000
5,000	-11,115	-10,696	-10,799	-10,712	-10,697	-10,659	-10,638	-10,642	-10,609	-10,596	-10,555	-10,484	-10,370	-10,157	-9,890	1,023	0,423	0,320	0,213	0,167	0,131	0,146	0,160	0,179	0,206	0,273	0,349	0,430	0,472	0,379	0,000	0,000
6,000	-7,290	-7,090	-6,934	-6,732	-6,617	-6,549	-6,517	-6,483	-6,444	-6,421	-6,377	-6,321	-6,243	-6,117	-5,966	0,688	0,564	0,492	0,383	0,331	0,266	0,247	0,223	0,217	0,221	0,239	0,263	0,290	0,300	0,234	0,000	0,000
7,000	-6,805	-6,797	-6,788	-6,742	-6,707	-6,677	-6,666	-6,657	-6,647	-6,641	-6,627	-6,616	-6,597	-6,554	-6,512	-0,016	-0,004	0,037	0,079	0,078	0,065	0,063	0,062	0,056	0,057	0,062	0,077	0,082	0,083	0,063	0,000	0,000
8,000	-19,082	-19,229	-19,246	-19,300	-19,293	-19,331	-19,363	-19,390	-19,411	-19,467	-19,480	-19,496	-19,501	-19,465	-19,420	-0,274	-0,160	-0,139	-0,102	-0,096	-0,119	-0,119	-0,118	-0,105	-0,101	-0,055	-0,011	0,010	0,049	0,052	0,000	0,000
