Device: PM2003001		2022:11:08    10:58:42,427  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:58:42,430
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,742	-12,805	-12,812	-12,889	-12,903	-12,914	-12,921	-12,921	-12,924	-12,928	-12,911	-12,890	-12,842	-12,751	-12,637	-0,147	-0,119	-0,109	-0,071	-0,058	-0,037	-0,013	0,002	0,026	0,043	0,084	0,125	0,172	0,191	0,154	0,000	0,000
1,000	-16,630	-16,590	-16,517	-16,327	-16,191	-16,092	-16,036	-15,987	-15,948	-15,914	-15,872	-15,833	-15,765	-15,681	-15,562	0,053	0,180	0,224	0,317	0,318	0,289	0,271	0,238	0,226	0,214	0,216	0,219	0,228	0,236	0,182	0,000	0,000
2,000	-10,216	-10,203	-10,160	-10,026	-9,922	-9,840	-9,793	-9,758	-9,710	-9,673	-9,618	-9,541	-9,445	-9,290	-9,117	0,065	0,111	0,163	0,244	0,264	0,243	0,245	0,235	0,243	0,253	0,277	0,319	0,345	0,357	0,272	0,000	0,000
3,000	-20,530	-20,486	-20,403	-20,094	-19,883	-19,753	-19,680	-19,629	-19,573	-19,560	-19,526	-19,482	-19,427	-19,324	-19,189	0,193	0,296	0,367	0,496	0,458	0,373	0,333	0,287	0,257	0,216	0,219	0,228	0,245	0,252	0,189	0,000	0,000
4,000	-10,953	-11,064	-10,980	-10,946	-10,912	-10,920	-10,916	-10,916	-10,904	-10,887	-10,843	-10,777	-10,632	-10,399	-10,099	-0,280	0,007	-0,014	0,043	0,051	0,075	0,086	0,107	0,132	0,197	0,280	0,366	0,473	0,529	0,434	0,000	0,000
5,000	-12,332	-12,210	-12,388	-12,400	-12,405	-12,375	-12,363	-12,362	-12,330	-12,322	-12,280	-12,180	-12,028	-11,761	-11,415	0,125	-0,120	-0,078	0,016	0,037	0,054	0,095	0,128	0,170	0,225	0,314	0,424	0,536	0,598	0,491	0,000	0,000
6,000	-8,573	-8,566	-8,456	-8,329	-8,223	-8,163	-8,130	-8,100	-8,067	-8,045	-7,989	-7,933	-7,839	-7,688	-7,500	-0,020	0,155	0,172	0,238	0,236	0,207	0,204	0,200	0,202	0,214	0,255	0,293	0,340	0,355	0,275	0,000	0,000
7,000	-7,053	-7,047	-7,003	-6,941	-6,889	-6,866	-6,850	-6,841	-6,814	-6,814	-6,803	-6,779	-6,757	-6,700	-6,650	-0,035	0,038	0,061	0,112	0,097	0,084	0,085	0,072	0,070	0,073	0,087	0,093	0,104	0,109	0,083	0,000	0,000
8,000	-20,215	-20,432	-20,452	-20,563	-20,570	-20,619	-20,653	-20,685	-20,710	-20,772	-20,793	-20,808	-20,807	-20,763	-20,702	-0,432	-0,259	-0,254	-0,171	-0,150	-0,158	-0,150	-0,143	-0,119	-0,104	-0,064	-0,018	0,021	0,061	0,059	0,000	0,000
9,000	-9,964	-9,970	-9,925	-9,774	-9,635	-9,517	-9,455	-9,408	-9,351	-9,311	-9,253	-9,185	-9,101	-8,977	-8,832	-0,125	0,035	0,128	0,289	0,319	0,303	0,296	0,276	0,262	0,259	0,275	0,289	0,301	0,301	0,228	0,000	0,000
10,000	-10,751	-10,834	-10,711	-10,596	-10,504	-10,469	-10,442	-10,428	-10,406	-10,410	-10,392	-10,363	-10,312	-10,233	-10,136	-0,458	-0,058	0,026	0,150	0,139	0,119	0,108	0,107	0,095	0,106	0,119	0,142	0,168	0,176	0,147	0,000	0,000
11,000	-6,936	-6,260	-6,023	-5,647	-5,503	-5,399	-5,345	-5,311	-5,275	-5,245	-5,216	-5,189	-5,153	-5,108	-5,052	1,981	1,357	1,084	0,707	0,550	0,413	0,347	0,285	0,239	0,203	0,179	0,158	0,148	0,132	0,096	0,000	0,000
12,000	-5,007	-4,717	-4,599	-4,507	-4,458	-4,432	-4,411	-4,396	-4,381	-4,365	-4,340	-4,311	-4,265	-4,181	-4,082	3,016	1,590	1,096	0,542	0,384	0,281	0,235	0,194	0,172	0,158	0,155	0,172	0,193	0,200	0,158	0,000	0,000
13,000	-2,955	-2,694	-2,518	-2,434	-2,367	-2,351	-2,334	-2,318	-2,299	-2,297	-2,269	-2,233	-2,171	-2,067	-1,940	1,995	1,156	0,813	0,416	0,301	0,230	0,196	0,173	0,155	0,152	0,168	0,193	0,229	0,244	0,195	0,000	0,000
