Device: PM2003001		2022:11:08    11:05:34,183  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:05:34,188
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,854	-12,939	-12,954	-13,037	-13,058	-13,068	-13,073	-13,080	-13,078	-13,080	-13,067	-13,039	-12,992	-12,899	-12,786	-0,199	-0,162	-0,142	-0,095	-0,077	-0,038	-0,019	-0,005	0,020	0,049	0,084	0,123	0,169	0,198	0,156	0,000	0,000
1,000	-16,859	-16,844	-16,754	-16,565	-16,423	-16,325	-16,258	-16,216	-16,171	-16,144	-16,093	-16,053	-15,997	-15,902	-15,797	0,027	0,160	0,237	0,331	0,332	0,293	0,273	0,241	0,226	0,217	0,216	0,221	0,225	0,229	0,169	0,000	0,000
2,000	-10,442	-10,431	-10,394	-10,255	-10,149	-10,065	-10,019	-9,985	-9,935	-9,899	-9,837	-9,763	-9,661	-9,506	-9,330	0,024	0,118	0,164	0,255	0,262	0,245	0,244	0,238	0,246	0,258	0,295	0,329	0,354	0,360	0,270	0,000	0,000
3,000	-20,710	-20,692	-20,606	-20,298	-20,086	-19,959	-19,882	-19,829	-19,771	-19,763	-19,726	-19,685	-19,635	-19,520	-19,393	0,060	0,259	0,339	0,480	0,456	0,376	0,336	0,285	0,254	0,214	0,210	0,225	0,238	0,253	0,189	0,000	0,000
4,000	-11,165	-11,278	-11,206	-11,203	-11,172	-11,162	-11,174	-11,163	-11,164	-11,142	-11,111	-11,045	-10,911	-10,699	-10,427	-0,402	-0,091	-0,072	0,012	0,027	0,050	0,071	0,086	0,117	0,178	0,259	0,341	0,431	0,483	0,404	0,000	0,000
5,000	-10,735	-10,483	-10,596	-10,569	-10,573	-10,543	-10,519	-10,514	-10,493	-10,484	-10,453	-10,392	-10,293	-10,136	-9,933	0,712	0,253	0,176	0,117	0,100	0,088	0,108	0,112	0,136	0,165	0,212	0,272	0,330	0,357	0,298	0,000	0,000
6,000	-3,867	-3,534	-3,381	-3,244	-3,177	-3,144	-3,128	-3,108	-3,088	-3,077	-3,041	-3,002	-2,937	-2,825	-2,685	1,745	1,056	0,775	0,426	0,319	0,241	0,209	0,186	0,172	0,171	0,189	0,218	0,246	0,268	0,209	0,000	0,000
7,000	-4,779	-4,508	-4,413	-4,287	-4,233	-4,205	-4,194	-4,182	-4,170	-4,174	-4,163	-4,145	-4,133	-4,102	-4,067	1,035	0,627	0,500	0,291	0,212	0,150	0,127	0,103	0,087	0,075	0,072	0,074	0,074	0,073	0,053	0,000	0,000
8,000	-20,355	-20,613	-20,635	-20,774	-20,780	-20,837	-20,877	-20,914	-20,944	-21,005	-21,030	-21,054	-21,067	-21,043	-21,007	-0,586	-0,361	-0,307	-0,211	-0,186	-0,190	-0,183	-0,165	-0,155	-0,136	-0,092	-0,054	-0,025	0,013	0,028	0,000	0,000
9,000	-9,598	-9,580	-9,546	-9,402	-9,274	-9,162	-9,095	-9,045	-8,993	-8,950	-8,898	-8,836	-8,763	-8,649	-8,520	-0,065	0,048	0,133	0,287	0,309	0,296	0,292	0,268	0,256	0,246	0,259	0,269	0,274	0,272	0,201	0,000	0,000
10,000	-9,600	-9,598	-9,485	-9,331	-9,245	-9,196	-9,176	-9,160	-9,142	-9,140	-9,121	-9,087	-9,031	-8,945	-8,844	-0,068	0,144	0,167	0,210	0,180	0,153	0,134	0,121	0,115	0,122	0,136	0,164	0,191	0,201	0,160	0,000	0,000
11,000	-10,119	-10,017	-9,996	-9,861	-9,778	-9,726	-9,693	-9,672	-9,641	-9,622	-9,591	-9,545	-9,481	-9,380	-9,257	0,097	0,142	0,162	0,211	0,202	0,169	0,165	0,156	0,157	0,161	0,186	0,207	0,226	0,237	0,183	0,000	0,000
12,000	-14,616	-14,664	-14,601	-14,558	-14,495	-14,478	-14,468	-14,457	-14,446	-14,452	-14,425	-14,388	-14,330	-14,211	-14,074	-0,059	0,055	0,072	0,097	0,097	0,077	0,083	0,083	0,093	0,099	0,141	0,178	0,222	0,244	0,196	0,000	0,000
13,000	-8,630	-8,722	-8,682	-8,710	-8,698	-8,688	-8,672	-8,654	-8,628	-8,600	-8,544	-8,468	-8,364	-8,210	-8,007	-0,110	-0,047	-0,023	0,016	0,048	0,082	0,106	0,121	0,163	0,196	0,254	0,306	0,348	0,374	0,296	0,000	0,000
14,000	-11,779	-11,713	-11,755	-11,707	-11,692	-11,662	-11,646	-11,640	-11,631	-11,624	-11,609	-11,566	-11,486	-11,344	-11,149	-0,123	-0,089	-0,018	0,037	0,061	0,063	0,073	0,070	0,090	0,115	0,162	0,225	0,280	0,318	0,259	0,000	0,000
15,000	-8,842	-8,983	-8,880	-8,896	-8,853	-8,851	-8,842	-8,830	-8,815	-8,814	-8,790	-8,761	-8,712	-8,630	-8,547	-0,260	-0,002	-0,031	0,028	0,038	0,051	0,055	0,064	0,070	0,089	0,110	0,128	0,163	0,168	0,137	0,000	0,000
	run	2	2022:11:08    11:05:34,286
0,000	-13,096	-13,191	-13,212	-13,286	-13,309	-13,321	-13,333	-13,331	-13,333	-13,336	-13,324	-13,295	-13,244	-13,150	-13,038	-0,192	-0,164	-0,141	-0,093	-0,072	-0,042	-0,019	-0,006	0,019	0,047	0,084	0,130	0,172	0,199	0,158	0,000	0,000
1,000	-16,995	-16,981	-16,904	-16,703	-16,558	-16,456	-16,401	-16,353	-16,313	-16,279	-16,231	-16,188	-16,128	-16,040	-15,923	0,026	0,169	0,226	0,328	0,332	0,294	0,274	0,244	0,227	0,213	0,213	0,231	0,229	0,235	0,178	0,000	0,000
2,000	-10,417	-10,425	-10,390	-10,248	-10,143	-10,061	-10,013	-9,974	-9,931	-9,890	-9,821	-9,749	-9,647	-9,492	-9,304	0,018	0,110	0,157	0,254	0,264	0,251	0,251	0,242	0,247	0,263	0,298	0,342	0,360	0,367	0,286	0,000	0,000
3,000	-21,002	-20,972	-20,887	-20,559	-20,340	-20,203	-20,137	-20,073	-20,024	-20,008	-19,966	-19,928	-19,873	-19,760	-19,632	0,101	0,278	0,344	0,495	0,471	0,387	0,341	0,292	0,251	0,213	0,216	0,234	0,247	0,258	0,194	0,000	0,000
4,000	-11,595	-11,716	-11,643	-11,646	-11,623	-11,610	-11,623	-11,614	-11,611	-11,587	-11,558	-11,478	-11,340	-11,120	-10,821	-0,403	-0,098	-0,091	0,002	0,020	0,051	0,071	0,085	0,123	0,193	0,278	0,365	0,463	0,521	0,424	0,000	0,000
5,000	-11,096	-10,833	-10,941	-10,924	-10,913	-10,886	-10,869	-10,864	-10,840	-10,829	-10,794	-10,731	-10,638	-10,471	-10,257	0,712	0,241	0,185	0,117	0,104	0,095	0,109	0,119	0,140	0,165	0,220	0,284	0,348	0,381	0,307	0,000	0,000
6,000	-3,964	-3,618	-3,450	-3,311	-3,250	-3,214	-3,195	-3,177	-3,158	-3,141	-3,108	-3,066	-2,986	-2,869	-2,701	1,817	1,094	0,798	0,438	0,329	0,256	0,216	0,191	0,182	0,188	0,207	0,242	0,272	0,293	0,238	0,000	0,000
7,000	-4,790	-4,505	-4,402	-4,264	-4,215	-4,180	-4,169	-4,159	-4,143	-4,143	-4,134	-4,121	-4,103	-4,071	-4,034	1,059	0,665	0,501	0,307	0,217	0,150	0,129	0,106	0,093	0,077	0,067	0,076	0,076	0,079	0,065	0,000	0,000
8,000	-20,707	-20,969	-21,000	-21,155	-21,161	-21,224	-21,267	-21,302	-21,335	-21,396	-21,429	-21,451	-21,470	-21,445	-21,423	-0,610	-0,371	-0,339	-0,226	-0,203	-0,197	-0,193	-0,180	-0,159	-0,148	-0,106	-0,061	-0,034	0,006	0,016	0,000	0,000
9,000	-9,715	-9,696	-9,648	-9,475	-9,344	-9,222	-9,161	-9,105	-9,051	-9,009	-8,951	-8,893	-8,820	-8,703	-8,571	-0,067	0,072	0,158	0,313	0,336	0,308	0,300	0,279	0,266	0,256	0,260	0,272	0,279	0,280	0,208	0,000	0,000
10,000	-9,411	-9,429	-9,331	-9,238	-9,157	-9,130	-9,109	-9,097	-9,080	-9,082	-9,063	-9,029	-8,975	-8,892	-8,788	-0,100	0,092	0,109	0,155	0,139	0,117	0,111	0,103	0,099	0,109	0,129	0,152	0,180	0,194	0,154	0,000	0,000
11,000	-9,874	-9,804	-9,787	-9,665	-9,593	-9,540	-9,509	-9,489	-9,453	-9,444	-9,404	-9,357	-9,300	-9,200	-9,087	0,062	0,100	0,139	0,184	0,183	0,157	0,157	0,152	0,152	0,159	0,179	0,207	0,221	0,229	0,176	0,000	0,000
12,000	-14,089	-14,117	-14,063	-14,016	-13,963	-13,940	-13,930	-13,923	-13,903	-13,921	-13,885	-13,854	-13,798	-13,691	-13,560	-0,027	0,069	0,074	0,100	0,094	0,078	0,077	0,077	0,089	0,096	0,125	0,178	0,208	0,232	0,191	0,000	0,000
