Device: PM2003001		2022:11:08    11:18:48,089  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:18:48,091
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,723	-12,777	-12,786	-12,862	-12,880	-12,888	-12,894	-12,895	-12,896	-12,905	-12,889	-12,861	-12,816	-12,727	-12,614	-0,155	-0,116	-0,104	-0,072	-0,056	-0,034	-0,014	0,003	0,025	0,047	0,081	0,127	0,170	0,192	0,154	0,000	0,000
1,000	-16,619	-16,628	-16,526	-16,375	-16,232	-16,136	-16,076	-16,029	-15,989	-15,952	-15,904	-15,857	-15,799	-15,707	-15,591	0,001	0,167	0,210	0,305	0,314	0,290	0,277	0,239	0,224	0,220	0,221	0,227	0,228	0,234	0,179	0,000	0,000
2,000	-10,250	-10,225	-10,194	-10,049	-9,941	-9,865	-9,821	-9,781	-9,731	-9,694	-9,634	-9,564	-9,456	-9,309	-9,134	0,072	0,121	0,174	0,254	0,261	0,243	0,246	0,243	0,249	0,262	0,293	0,326	0,338	0,348	0,263	0,000	0,000
3,000	-20,273	-20,258	-20,197	-19,883	-19,681	-19,554	-19,483	-19,428	-19,373	-19,368	-19,326	-19,282	-19,236	-19,130	-19,012	0,120	0,279	0,350	0,460	0,450	0,375	0,328	0,284	0,248	0,209	0,203	0,220	0,229	0,240	0,180	0,000	0,000
4,000	-10,715	-10,802	-10,706	-10,698	-10,665	-10,653	-10,652	-10,646	-10,647	-10,622	-10,580	-10,513	-10,375	-10,161	-9,865	-0,219	0,010	0,009	0,047	0,058	0,069	0,086	0,107	0,128	0,195	0,274	0,357	0,454	0,509	0,416	0,000	0,000
5,000	-12,130	-12,045	-12,203	-12,242	-12,232	-12,225	-12,203	-12,202	-12,177	-12,170	-12,123	-12,043	-11,908	-11,660	-11,352	0,014	-0,165	-0,118	-0,013	0,015	0,040	0,078	0,105	0,151	0,199	0,285	0,381	0,479	0,542	0,437	0,000	0,000
6,000	-8,249	-8,232	-8,104	-7,964	-7,865	-7,812	-7,775	-7,745	-7,708	-7,687	-7,642	-7,589	-7,517	-7,398	-7,256	0,049	0,195	0,203	0,246	0,239	0,203	0,204	0,195	0,194	0,192	0,223	0,242	0,269	0,273	0,215	0,000	0,000
7,000	-6,051	-5,830	-5,735	-5,622	-5,561	-5,533	-5,511	-5,497	-5,483	-5,477	-5,471	-5,453	-5,439	-5,410	-5,376	0,606	0,412	0,334	0,241	0,178	0,135	0,117	0,099	0,090	0,074	0,073	0,075	0,067	0,072	0,050	0,000	0,000
8,000	-18,985	-18,643	-18,447	-18,364	-18,317	-18,338	-18,362	-18,386	-18,407	-18,451	-18,482	-18,502	-18,525	-18,513	-18,498	0,992	0,732	0,506	0,218	0,123	0,027	-0,010	-0,040	-0,059	-0,068	-0,057	-0,038	-0,028	0,004	0,008	0,000	0,000
