Device: PM2003001		2022:11:08    10:43:19,072  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:43:19,074
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,065	-13,170	-13,170	-13,263	-13,281	-13,300	-13,301	-13,309	-13,305	-13,314	-13,303	-13,283	-13,236	-13,142	-13,034	-0,199	-0,152	-0,141	-0,097	-0,069	-0,045	-0,020	-0,006	0,015	0,035	0,075	0,117	0,163	0,184	0,151	0,000	0,000
1,000	-16,916	-16,866	-16,760	-16,563	-16,423	-16,309	-16,255	-16,202	-16,158	-16,116	-16,080	-16,037	-15,975	-15,884	-15,766	0,064	0,209	0,251	0,340	0,348	0,308	0,295	0,254	0,230	0,220	0,223	0,231	0,228	0,239	0,184	0,000	0,000
2,000	-10,183	-10,174	-10,126	-10,021	-9,921	-9,844	-9,798	-9,764	-9,712	-9,692	-9,627	-9,558	-9,477	-9,334	-9,175	0,041	0,088	0,139	0,234	0,244	0,229	0,229	0,224	0,229	0,228	0,262	0,296	0,310	0,325	0,248	0,000	0,000
3,000	-20,269	-20,257	-20,201	-19,901	-19,694	-19,568	-19,488	-19,436	-19,380	-19,371	-19,325	-19,289	-19,232	-19,118	-18,988	0,092	0,240	0,314	0,455	0,454	0,372	0,329	0,284	0,249	0,216	0,220	0,230	0,247	0,254	0,193	0,000	0,000
4,000	-10,806	-10,945	-10,832	-10,823	-10,788	-10,796	-10,792	-10,788	-10,784	-10,767	-10,730	-10,656	-10,519	-10,304	-10,019	-0,331	-0,005	-0,015	0,050	0,046	0,066	0,080	0,097	0,129	0,192	0,262	0,347	0,446	0,501	0,412	0,000	0,000
5,000	-12,279	-12,167	-12,349	-12,357	-12,382	-12,349	-12,327	-12,336	-12,311	-12,294	-12,256	-12,160	-12,016	-11,771	-11,435	0,030	-0,186	-0,109	-0,013	0,023	0,048	0,081	0,109	0,164	0,209	0,301	0,402	0,507	0,569	0,462	0,000	0,000
6,000	-8,710	-8,694	-8,607	-8,470	-8,364	-8,298	-8,273	-8,242	-8,200	-8,186	-8,135	-8,062	-7,994	-7,849	-7,690	-0,055	0,127	0,173	0,240	0,232	0,206	0,202	0,197	0,198	0,210	0,238	0,273	0,301	0,316	0,244	0,000	0,000
7,000	-7,015	-6,982	-6,977	-6,911	-6,865	-6,842	-6,819	-6,813	-6,797	-6,801	-6,786	-6,768	-6,750	-6,712	-6,662	-0,050	0,004	0,042	0,106	0,080	0,072	0,069	0,065	0,064	0,056	0,061	0,082	0,085	0,087	0,067	0,000	0,000
8,000	-20,402	-20,662	-20,700	-20,815	-20,814	-20,863	-20,902	-20,928	-20,958	-21,012	-21,035	-21,046	-21,050	-21,020	-20,980	-0,547	-0,307	-0,280	-0,181	-0,164	-0,168	-0,152	-0,142	-0,129	-0,115	-0,076	-0,029	-0,003	0,037	0,036	0,000	0,000
