Device: PM2003001		2022:11:08    11:22:35,490  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:22:35,493
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,306	-13,425	-13,441	-13,531	-13,554	-13,571	-13,579	-13,580	-13,583	-13,588	-13,585	-13,553	-13,505	-13,415	-13,306	-0,316	-0,214	-0,182	-0,120	-0,087	-0,051	-0,029	-0,014	0,012	0,038	0,081	0,122	0,166	0,188	0,153	0,000	0,000
1,000	-17,141	-17,188	-17,113	-16,954	-16,817	-16,713	-16,655	-16,608	-16,568	-16,527	-16,479	-16,438	-16,384	-16,291	-16,190	-0,143	0,073	0,156	0,287	0,310	0,280	0,269	0,235	0,228	0,215	0,211	0,218	0,222	0,223	0,170	0,000	0,000
2,000	-10,356	-10,391	-10,378	-10,250	-10,156	-10,086	-10,042	-10,001	-9,945	-9,925	-9,856	-9,787	-9,694	-9,550	-9,387	-0,059	0,034	0,106	0,216	0,232	0,223	0,228	0,226	0,232	0,244	0,272	0,307	0,324	0,332	0,249	0,000	0,000
3,000	-20,319	-20,436	-20,396	-20,149	-19,962	-19,837	-19,774	-19,716	-19,664	-19,650	-19,618	-19,584	-19,538	-19,447	-19,343	-0,280	0,019	0,151	0,365	0,376	0,328	0,294	0,255	0,219	0,187	0,185	0,194	0,201	0,216	0,162	0,000	0,000
4,000	-10,676	-10,616	-10,473	-10,425	-10,395	-10,387	-10,389	-10,389	-10,388	-10,372	-10,346	-10,305	-10,213	-10,068	-9,881	0,038	0,191	0,137	0,106	0,079	0,064	0,072	0,077	0,088	0,130	0,188	0,240	0,300	0,340	0,276	0,000	0,000
5,000	-8,426	-7,802	-7,768	-7,591	-7,534	-7,486	-7,457	-7,450	-7,412	-7,406	-7,370	-7,299	-7,201	-7,019	-6,807	1,983	1,087	0,805	0,451	0,336	0,245	0,230	0,217	0,219	0,224	0,270	0,323	0,368	0,399	0,317	0,000	0,000
6,000	-5,904	-5,583	-5,407	-5,200	-5,087	-5,029	-4,999	-4,969	-4,933	-4,909	-4,873	-4,817	-4,741	-4,616	-4,466	1,238	0,862	0,677	0,456	0,367	0,295	0,257	0,233	0,224	0,220	0,234	0,261	0,281	0,292	0,228	0,000	0,000
7,000	-7,154	-7,085	-7,083	-6,976	-6,923	-6,884	-6,861	-6,855	-6,840	-6,832	-6,820	-6,798	-6,775	-6,731	-6,684	0,095	0,070	0,110	0,146	0,128	0,089	0,095	0,085	0,079	0,073	0,082	0,092	0,096	0,095	0,067	0,000	0,000
8,000	-20,090	-20,274	-20,317	-20,440	-20,443	-20,500	-20,533	-20,567	-20,587	-20,646	-20,658	-20,671	-20,676	-20,623	-20,573	-0,354	-0,257	-0,245	-0,174	-0,146	-0,159	-0,146	-0,136	-0,112	-0,100	-0,057	-0,010	0,022	0,067	0,062	0,000	0,000
9,000	-9,830	-9,798	-9,732	-9,525	-9,377	-9,257	-9,190	-9,131	-9,082	-9,037	-8,976	-8,920	-8,830	-8,704	-8,552	0,077	0,161	0,243	0,361	0,369	0,336	0,326	0,293	0,280	0,267	0,287	0,294	0,310	0,311	0,237	0,000	0,000
10,000	-9,920	-9,896	-9,754	-9,589	-9,496	-9,460	-9,438	-9,421	-9,401	-9,395	-9,365	-9,332	-9,269	-9,169	-9,051	-0,030	0,208	0,217	0,237	0,191	0,160	0,145	0,137	0,127	0,141	0,156	0,176	0,214	0,227	0,180	0,000	0,000
11,000	-9,963	-9,838	-9,801	-9,646	-9,561	-9,505	-9,472	-9,451	-9,422	-9,403	-9,361	-9,314	-9,246	-9,136	-9,007	0,170	0,187	0,207	0,227	0,217	0,182	0,174	0,167	0,169	0,175	0,204	0,218	0,246	0,254	0,194	0,000	0,000
12,000	-15,395	-15,464	-15,361	-15,327	-15,265	-15,247	-15,242	-15,231	-15,212	-15,227	-15,204	-15,163	-15,106	-14,984	-14,838	-0,037	0,082	0,085	0,100	0,099	0,080	0,083	0,087	0,091	0,105	0,146	0,181	0,227	0,258	0,206	0,000	0,000
13,000	-8,541	-8,528	-8,524	-8,530	-8,516	-8,498	-8,483	-8,460	-8,436	-8,400	-8,352	-8,276	-8,166	-8,002	-7,789	-0,018	-0,002	-0,001	0,042	0,069	0,092	0,119	0,137	0,174	0,209	0,260	0,314	0,368	0,391	0,310	0,000	0,000
14,000	-12,086	-11,962	-12,031	-11,969	-11,953	-11,921	-11,898	-11,905	-11,889	-11,882	-11,867	-11,820	-11,737	-11,588	-11,390	-0,051	-0,076	-0,015	0,051	0,052	0,053	0,070	0,075	0,098	0,121	0,177	0,228	0,300	0,333	0,279	0,000	0,000
15,000	-9,252	-9,430	-9,328	-9,341	-9,292	-9,291	-9,289	-9,274	-9,256	-9,246	-9,226	-9,199	-9,154	-9,081	-8,996	-0,298	-0,035	-0,035	0,031	0,042	0,054	0,062	0,072	0,077	0,088	0,111	0,125	0,150	0,161	0,129	0,000	0,000
	run	2	2022:11:08    11:22:35,541
