Device: PM2003001		2022:11:08    11:06:13,888  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:06:13,891
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,582	-13,685	-13,742	-13,821	-13,844	-13,860	-13,862	-13,874	-13,871	-13,877	-13,873	-13,841	-13,798	-13,711	-13,604	-0,365	-0,248	-0,213	-0,129	-0,097	-0,057	-0,035	-0,017	0,005	0,025	0,067	0,118	0,158	0,179	0,150	0,000	0,000
1,000	-17,670	-17,716	-17,642	-17,470	-17,339	-17,233	-17,177	-17,128	-17,083	-17,059	-17,016	-16,974	-16,922	-16,841	-16,738	-0,258	0,017	0,111	0,270	0,297	0,266	0,259	0,223	0,212	0,199	0,200	0,203	0,208	0,215	0,161	0,000	0,000
2,000	-10,841	-10,837	-10,826	-10,681	-10,576	-10,495	-10,453	-10,412	-10,362	-10,333	-10,274	-10,206	-10,119	-9,985	-9,838	-0,092	0,038	0,119	0,227	0,240	0,229	0,232	0,230	0,233	0,240	0,262	0,291	0,302	0,304	0,230	0,000	0,000
3,000	-19,251	-19,057	-18,931	-18,607	-18,400	-18,271	-18,209	-18,154	-18,107	-18,104	-18,078	-18,056	-18,037	-17,985	-17,937	0,635	0,592	0,554	0,546	0,486	0,387	0,328	0,275	0,220	0,172	0,138	0,129	0,122	0,117	0,080	0,000	0,000
4,000	-6,804	-6,510	-6,294	-6,205	-6,150	-6,154	-6,150	-6,147	-6,143	-6,140	-6,120	-6,084	-6,004	-5,867	-5,702	1,494	1,006	0,690	0,351	0,229	0,165	0,133	0,127	0,123	0,142	0,177	0,223	0,277	0,301	0,250	0,000	0,000
5,000	-7,945	-7,359	-7,350	-7,191	-7,145	-7,103	-7,078	-7,067	-7,034	-7,026	-6,983	-6,910	-6,802	-6,610	-6,369	2,070	1,078	0,794	0,439	0,322	0,241	0,226	0,218	0,220	0,230	0,286	0,342	0,404	0,434	0,349	0,000	0,000
6,000	-8,467	-8,406	-8,303	-8,142	-8,032	-7,977	-7,938	-7,907	-7,872	-7,848	-7,793	-7,736	-7,654	-7,512	-7,345	0,105	0,219	0,243	0,269	0,253	0,220	0,211	0,199	0,208	0,215	0,252	0,279	0,305	0,317	0,246	0,000	0,000
7,000	-7,043	-7,016	-6,992	-6,923	-6,878	-6,842	-6,824	-6,821	-6,797	-6,798	-6,783	-6,761	-6,739	-6,690	-6,635	-0,001	0,031	0,062	0,109	0,102	0,080	0,083	0,080	0,076	0,077	0,078	0,087	0,096	0,108	0,075	0,000	0,000
8,000	-19,404	-19,612	-19,595	-19,687	-19,678	-19,715	-19,760	-19,785	-19,815	-19,867	-19,881	-19,903	-19,901	-19,856	-19,795	-0,316	-0,153	-0,146	-0,119	-0,107	-0,124	-0,124	-0,124	-0,111	-0,086	-0,050	-0,005	0,020	0,062	0,070	0,000	0,000
