Device: PM2003001		2022:11:08    11:33:34,096  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:33:34,100
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA
0,000	-13,230	-13,288	-13,332	-13,413	-13,444	-13,468	-13,476	-13,483	-13,484	-13,493	-13,478	-13,459	-13,408	-13,314	-13,207	-0,214	-0,177	-0,155	-0,112	-0,084	-0,062	-0,037	-0,016	0,009	0,033	0,078	0,119	0,162	0,186	0,156	0,000	0,000
1,000	-16,669	-16,679	-16,605	-16,381	-16,208	-16,083	-16,014	-15,951	-15,894	-15,857	-15,797	-15,750	-15,683	-15,584	-15,471	0,016	0,173	0,253	0,370	0,392	0,360	0,328	0,295	0,276	0,255	0,254	0,255	0,248	0,241	0,180	0,000	0,000
2,000	-10,483	-10,455	-10,428	-10,266	-10,163	-10,084	-10,040	-9,996	-9,943	-9,909	-9,843	-9,762	-9,667	-9,515	-9,341	0,070	0,130	0,188	0,266	0,266	0,248	0,254	0,248	0,259	0,263	0,298	0,328	0,347	0,349	0,260	0,000	0,000
3,000	-20,843	-20,805	-20,746	-20,400	-20,186	-20,040	-19,972	-19,908	-19,858	-19,844	-19,804	-19,764	-19,714	-19,603	-19,480	0,085	0,260	0,366	0,508	0,479	0,394	0,347	0,295	0,253	0,221	0,213	0,232	0,237	0,250	0,188	0,000	0,000
4,000	-11,663	-11,757	-11,689	-11,706	-11,679	-11,690	-11,690	-11,687	-11,679	-11,662	-11,625	-11,557	-11,427	-11,217	-10,945	-0,315	-0,085	-0,060	0,000	0,021	0,036	0,068	0,088	0,123	0,182	0,266	0,347	0,427	0,478	0,391	0,000	0,000
5,000	-11,610	-11,415	-11,469	-11,447	-11,419	-11,387	-11,379	-11,375	-11,346	-11,342	-11,305	-11,228	-11,134	-10,949	-10,725	0,590	0,248	0,174	0,141	0,117	0,099	0,116	0,128	0,145	0,171	0,236	0,309	0,371	0,413	0,324	0,000	0,000
6,000	-5,753	-5,346	-5,159	-4,939	-4,845	-4,788	-4,755	-4,726	-4,696	-4,677	-4,634	-4,583	-4,511	-4,393	-4,244	1,423	0,980	0,744	0,472	0,376	0,293	0,258	0,231	0,212	0,205	0,226	0,251	0,278	0,288	0,223	0,000	0,000
7,000	-6,587	-6,385	-6,304	-6,172	-6,101	-6,062	-6,041	-6,032	-6,007	-6,007	-5,986	-5,978	-5,951	-5,921	-5,878	0,489	0,380	0,317	0,239	0,195	0,147	0,126	0,107	0,094	0,078	0,080	0,081	0,086	0,087	0,064	0,000	0,000
8,000	-19,812	-20,046	-20,076	-20,202	-20,200	-20,261	-20,298	-20,325	-20,349	-20,396	-20,411	-20,429	-20,429	-20,399	-20,354	-0,535	-0,332	-0,295	-0,202	-0,162	-0,161	-0,147	-0,137	-0,125	-0,101	-0,063	-0,024	0,006	0,043	0,045	0,000	0,000
9,000	-9,466	-9,452	-9,408	-9,234	-9,099	-8,991	-8,926	-8,878	-8,823	-8,785	-8,737	-8,680	-8,603	-8,487	-8,357	0,006	0,100	0,193	0,309	0,324	0,304	0,290	0,269	0,256	0,243	0,259	0,260	0,276	0,278	0,208	0,000	0,000
