Device: PM2003001		2022:11:08    11:03:55,682  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:03:55,684
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,967	-13,072	-13,080	-13,162	-13,167	-13,187	-13,186	-13,197	-13,190	-13,197	-13,182	-13,154	-13,110	-13,014	-12,902	-0,217	-0,140	-0,131	-0,084	-0,067	-0,038	-0,014	-0,002	0,021	0,042	0,083	0,128	0,166	0,191	0,158	0,000	0,000
1,000	-16,534	-16,517	-16,453	-16,265	-16,140	-16,037	-15,978	-15,941	-15,895	-15,870	-15,828	-15,785	-15,728	-15,637	-15,538	0,020	0,159	0,214	0,294	0,308	0,279	0,263	0,230	0,211	0,200	0,205	0,209	0,217	0,217	0,168	0,000	0,000
2,000	-10,025	-10,025	-10,004	-9,881	-9,780	-9,701	-9,662	-9,631	-9,578	-9,543	-9,479	-9,414	-9,318	-9,171	-9,004	0,049	0,085	0,139	0,225	0,243	0,226	0,236	0,228	0,232	0,244	0,273	0,308	0,331	0,335	0,260	0,000	0,000
3,000	-19,900	-19,896	-19,835	-19,580	-19,388	-19,259	-19,198	-19,142	-19,089	-19,075	-19,035	-18,996	-18,946	-18,845	-18,721	0,086	0,204	0,273	0,424	0,415	0,351	0,315	0,272	0,242	0,205	0,204	0,221	0,233	0,241	0,179	0,000	0,000
4,000	-10,811	-10,932	-10,849	-10,823	-10,793	-10,800	-10,795	-10,787	-10,784	-10,774	-10,741	-10,665	-10,529	-10,317	-10,037	-0,350	-0,050	-0,034	0,035	0,043	0,068	0,075	0,091	0,123	0,180	0,266	0,351	0,441	0,495	0,402	0,000	0,000
5,000	-12,009	-11,882	-12,061	-12,069	-12,080	-12,056	-12,038	-12,035	-12,015	-12,004	-11,963	-11,889	-11,783	-11,588	-11,338	0,114	-0,124	-0,086	0,003	0,024	0,037	0,076	0,092	0,129	0,172	0,241	0,315	0,394	0,442	0,357	0,000	0,000
6,000	-4,873	-4,535	-4,363	-4,177	-4,091	-4,038	-4,004	-3,978	-3,951	-3,932	-3,894	-3,853	-3,787	-3,677	-3,546	1,543	0,998	0,766	0,461	0,361	0,284	0,252	0,217	0,204	0,195	0,209	0,230	0,248	0,261	0,204	0,000	0,000
7,000	-4,470	-4,144	-4,040	-3,898	-3,839	-3,808	-3,790	-3,783	-3,768	-3,762	-3,750	-3,740	-3,722	-3,684	-3,642	1,284	0,775	0,585	0,342	0,244	0,174	0,143	0,117	0,097	0,084	0,078	0,082	0,082	0,084	0,063	0,000	0,000
8,000	-20,593	-20,759	-20,812	-20,938	-20,951	-21,005	-21,053	-21,087	-21,122	-21,183	-21,212	-21,238	-21,263	-21,242	-21,220	-0,373	-0,271	-0,248	-0,198	-0,180	-0,185	-0,182	-0,168	-0,159	-0,148	-0,115	-0,069	-0,045	-0,000	0,010	0,000	0,000
9,000	-10,144	-10,120	-10,070	-9,884	-9,746	-9,626	-9,561	-9,505	-9,442	-9,401	-9,354	-9,292	-9,223	-9,100	-8,973	-0,093	0,066	0,162	0,322	0,332	0,309	0,302	0,276	0,264	0,258	0,260	0,270	0,281	0,282	0,208	0,000	0,000
10,000	-10,036	-10,049	-9,905	-9,740	-9,641	-9,599	-9,581	-9,562	-9,543	-9,549	-9,517	-9,495	-9,437	-9,347	-9,243	-0,126	0,153	0,185	0,227	0,190	0,159	0,138	0,122	0,112	0,122	0,141	0,156	0,189	0,202	0,159	0,000	0,000
11,000	-10,372	-10,273	-10,241	-10,093	-10,009	-9,954	-9,921	-9,905	-9,877	-9,852	-9,817	-9,771	-9,710	-9,597	-9,479	0,067	0,136	0,162	0,216	0,206	0,173	0,167	0,160	0,165	0,165	0,189	0,210	0,232	0,245	0,184	0,000	0,000
12,000	-14,700	-14,847	-14,715	-14,710	-14,644	-14,627	-14,620	-14,606	-14,596	-14,602	-14,577	-14,543	-14,484	-14,371	-14,241	-0,175	0,019	0,040	0,078	0,088	0,076	0,076	0,080	0,082	0,095	0,132	0,174	0,217	0,239	0,192	0,000	0,000
13,000	-8,640	-8,682	-8,672	-8,697	-8,684	-8,678	-8,658	-8,639	-8,613	-8,580	-8,523	-8,458	-8,357	-8,194	-7,987	-0,096	-0,045	-0,027	0,021	0,048	0,079	0,100	0,130	0,157	0,197	0,254	0,299	0,348	0,374	0,300	0,000	0,000
14,000	-11,853	-11,702	-11,830	-11,740	-11,736	-11,711	-11,686	-11,692	-11,673	-11,666	-11,651	-11,613	-11,522	-11,389	-11,189	-0,008	-0,108	-0,015	0,054	0,054	0,057	0,073	0,073	0,100	0,122	0,164	0,230	0,280	0,329	0,267	0,000	0,000
15,000	-8,855	-8,968	-8,882	-8,889	-8,853	-8,848	-8,836	-8,827	-8,806	-8,807	-8,786	-8,760	-8,709	-8,638	-8,558	-0,194	0,001	-0,018	0,033	0,041	0,046	0,056	0,065	0,069	0,086	0,106	0,126	0,152	0,161	0,128	0,000	0,000
	run	2	2022:11:08    11:03:55,784
0,000	-12,642	-12,749	-12,749	-12,829	-12,844	-12,858	-12,862	-12,865	-12,860	-12,865	-12,857	-12,832	-12,785	-12,701	-12,590	-0,215	-0,140	-0,128	-0,089	-0,060	-0,033	-0,011	0,000	0,014	0,040	0,081	0,122	0,160	0,188	0,150	0,000	0,000
1,000	-16,491	-16,501	-16,415	-16,251	-16,120	-16,024	-15,968	-15,926	-15,876	-15,852	-15,805	-15,767	-15,718	-15,624	-15,518	0,026	0,151	0,198	0,295	0,308	0,278	0,256	0,230	0,213	0,203	0,201	0,211	0,213	0,222	0,164	0,000	0,000
2,000	-10,200	-10,178	-10,142	-10,010	-9,908	-9,828	-9,787	-9,742	-9,696	-9,660	-9,600	-9,527	-9,427	-9,277	-9,108	0,052	0,095	0,160	0,246	0,254	0,241	0,247	0,237	0,244	0,254	0,281	0,317	0,339	0,347	0,262	0,000	0,000
3,000	-20,453	-20,432	-20,376	-20,064	-19,857	-19,730	-19,660	-19,598	-19,552	-19,544	-19,500	-19,462	-19,408	-19,303	-19,178	0,086	0,251	0,329	0,464	0,452	0,368	0,326	0,276	0,249	0,217	0,210	0,229	0,239	0,247	0,186	0,000	0,000
4,000	-11,035	-11,147	-11,059	-11,052	-11,018	-11,018	-11,016	-11,014	-11,007	-10,993	-10,951	-10,880	-10,744	-10,524	-10,238	-0,379	-0,046	-0,054	0,023	0,030	0,067	0,078	0,096	0,126	0,188	0,267	0,362	0,453	0,503	0,423	0,000	0,000
5,000	-12,295	-12,166	-12,326	-12,343	-12,360	-12,336	-12,313	-12,316	-12,284	-12,279	-12,243	-12,158	-12,053	-11,853	-11,586	0,113	-0,119	-0,079	0,001	0,023	0,046	0,075	0,098	0,142	0,184	0,249	0,330	0,408	0,455	0,369	0,000	0,000
6,000	-4,985	-4,628	-4,463	-4,270	-4,175	-4,117	-4,088	-4,056	-4,031	-4,014	-3,974	-3,929	-3,861	-3,752	-3,619	1,591	1,024	0,776	0,475	0,371	0,290	0,250	0,226	0,208	0,197	0,212	0,229	0,250	0,263	0,204	0,000	0,000
7,000	-4,542	-4,190	-4,087	-3,931	-3,871	-3,844	-3,824	-3,814	-3,803	-3,800	-3,786	-3,773	-3,756	-3,722	-3,687	1,260	0,781	0,585	0,346	0,239	0,173	0,143	0,116	0,095	0,086	0,076	0,078	0,080	0,084	0,059	0,000	0,000
8,000	-20,702	-20,880	-20,934	-21,057	-21,080	-21,134	-21,172	-21,211	-21,245	-21,311	-21,338	-21,359	-21,384	-21,367	-21,337	-0,365	-0,264	-0,251	-0,199	-0,180	-0,193	-0,184	-0,178	-0,159	-0,148	-0,109	-0,072	-0,044	0,004	0,018	0,000	0,000
9,000	-10,120	-10,137	-10,091	-9,915	-9,781	-9,660	-9,590	-9,542	-9,482	-9,444	-9,394	-9,331	-9,255	-9,138	-9,009	-0,103	0,041	0,144	0,307	0,328	0,305	0,297	0,277	0,262	0,253	0,257	0,268	0,276	0,272	0,204	0,000	0,000
10,000	-9,901	-9,921	-9,778	-9,633	-9,539	-9,498	-9,475	-9,457	-9,441	-9,438	-9,421	-9,387	-9,330	-9,242	-9,137	-0,140	0,128	0,154	0,217	0,180	0,150	0,133	0,122	0,113	0,123	0,140	0,156	0,191	0,203	0,159	0,000	0,000
11,000	-10,296	-10,211	-10,170	-10,030	-9,949	-9,888	-9,856	-9,840	-9,802	-9,787	-9,756	-9,701	-9,641	-9,538	-9,415	0,066	0,119	0,149	0,210	0,204	0,171	0,170	0,158	0,161	0,164	0,182	0,215	0,228	0,242	0,185	0,000	0,000
12,000	-14,584	-14,713	-14,602	-14,585	-14,522	-14,507	-14,503	-14,491	-14,476	-14,484	-14,456	-14,425	-14,371	-14,259	-14,125	-0,163	0,010	0,037	0,075	0,083	0,074	0,075	0,078	0,083	0,092	0,133	0,174	0,210	0,235	0,187	0,000	0,000
13,000	-8,574	-8,629	-8,612	-8,640	-8,622	-8,615	-8,603	-8,585	-8,560	-8,525	-8,474	-8,404	-8,307	-8,140	-7,945	-0,094	-0,054	-0,029	0,017	0,044	0,076	0,101	0,126	0,157	0,194	0,244	0,295	0,350	0,369	0,303	0,000	0,000
14,000	-11,725	-11,595	-11,702	-11,636	-11,632	-11,598	-11,573	-11,572	-11,556	-11,557	-11,539	-11,497	-11,421	-11,284	-11,088	0,005	-0,093	-0,017	0,047	0,062	0,058	0,068	0,072	0,094	0,117	0,165	0,231	0,284	0,320	0,267	0,000	0,000
15,000	-8,801	-8,927	-8,851	-8,864	-8,818	-8,818	-8,804	-8,800	-8,776	-8,774	-8,751	-8,726	-8,676	-8,606	-8,523	-0,209	-0,013	-0,027	0,036	0,039	0,048	0,055	0,060	0,071	0,087	0,107	0,126	0,149	0,160	0,128	0,000	0,000
	run	3	2022:11:08    11:03:55,884
0,000	-12,985	-13,080	-13,073	-13,167	-13,184	-13,200	-13,202	-13,207	-13,208	-13,214	-13,199	-13,172	-13,123	-13,027	-12,918	-0,214	-0,151	-0,127	-0,081	-0,067	-0,041	-0,016	-0,002	0,021	0,048	0,085	0,130	0,168	0,197	0,156	0,000	0,000
1,000	-16,857	-16,843	-16,753	-16,569	-16,426	-16,325	-16,266	-16,226	-16,175	-16,150	-16,099	-16,057	-16,013	-15,914	-15,807	0,045	0,184	0,236	0,333	0,334	0,290	0,273	0,246	0,226	0,211	0,211	0,216	0,220	0,223	0,172	0,000	0,000
2,000	-10,332	-10,317	-10,290	-10,145	-10,045	-9,969	-9,927	-9,885	-9,835	-9,800	-9,743	-9,663	-9,561	-9,411	-9,236	0,052	0,103	0,154	0,248	0,258	0,239	0,241	0,235	0,248	0,256	0,292	0,327	0,349	0,361	0,268	0,000	0,000
3,000	-20,550	-20,522	-20,471	-20,155	-19,952	-19,811	-19,742	-19,688	-19,636	-19,618	-19,585	-19,541	-19,488	-19,379	-19,256	0,098	0,265	0,338	0,475	0,454	0,371	0,334	0,282	0,252	0,218	0,219	0,228	0,243	0,251	0,194	0,000	0,000
4,000	-11,075	-11,195	-11,101	-11,104	-11,067	-11,067	-11,069	-11,063	-11,058	-11,044	-10,998	-10,934	-10,790	-10,573	-10,277	-0,355	-0,038	-0,049	0,026	0,033	0,063	0,073	0,095	0,126	0,192	0,278	0,361	0,460	0,517	0,424	0,000	0,000
5,000	-12,230	-12,116	-12,273	-12,284	-12,298	-12,270	-12,258	-12,256	-12,228	-12,222	-12,178	-12,110	-11,995	-11,792	-11,530	0,110	-0,123	-0,082	-0,002	0,025	0,042	0,072	0,100	0,135	0,177	0,246	0,332	0,405	0,455	0,369	0,000	0,000
6,000	-4,919	-4,561	-4,405	-4,200	-4,108	-4,053	-4,033	-4,000	-3,974	-3,952	-3,917	-3,869	-3,799	-3,696	-3,562	1,551	1,012	0,770	0,470	0,364	0,285	0,253	0,219	0,204	0,196	0,211	0,232	0,246	0,263	0,203	0,000	0,000
7,000	-4,434	-4,102	-4,008	-3,863	-3,801	-3,772	-3,762	-3,749	-3,731	-3,729	-3,714	-3,710	-3,692	-3,658	-3,621	1,257	0,752	0,583	0,336	0,241	0,168	0,141	0,117	0,097	0,083	0,083	0,075	0,079	0,080	0,058	0,000	0,000
8,000	-20,487	-20,664	-20,712	-20,831	-20,852	-20,907	-20,949	-20,981	-21,013	-21,077	-21,110	-21,139	-21,158	-21,130	-21,113	-0,341	-0,273	-0,261	-0,183	-0,171	-0,190	-0,182	-0,179	-0,155	-0,146	-0,110	-0,067	-0,041	-0,002	0,017	0,000	0,000
9,000	-9,980	-9,985	-9,928	-9,770	-9,631	-9,517	-9,450	-9,403	-9,344	-9,298	-9,246	-9,186	-9,114	-8,999	-8,872	-0,130	0,036	0,136	0,298	0,322	0,303	0,294	0,272	0,262	0,249	0,254	0,263	0,272	0,271	0,201	0,000	0,000
