Device: PM2003001		2022:11:08    11:50:58,704  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:50:58,707
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,080	-13,145	-13,183	-13,272	-13,303	-13,321	-13,335	-13,338	-13,344	-13,355	-13,352	-13,324	-13,283	-13,210	-13,113	-0,222	-0,189	-0,167	-0,117	-0,095	-0,067	-0,043	-0,030	-0,005	0,016	0,049	0,097	0,136	0,162	0,134	0,000	0,000
1,000	-16,491	-16,466	-16,373	-16,153	-15,983	-15,865	-15,795	-15,734	-15,668	-15,639	-15,579	-15,529	-15,474	-15,383	-15,285	0,068	0,218	0,288	0,389	0,398	0,356	0,332	0,299	0,281	0,243	0,242	0,237	0,227	0,221	0,162	0,000	0,000
2,000	-9,855	-9,876	-9,829	-9,726	-9,626	-9,560	-9,514	-9,475	-9,426	-9,393	-9,328	-9,262	-9,171	-9,030	-8,880	0,026	0,092	0,130	0,223	0,233	0,221	0,231	0,230	0,235	0,236	0,264	0,292	0,313	0,316	0,238	0,000	0,000
3,000	-19,712	-19,701	-19,627	-19,348	-19,150	-19,018	-18,954	-18,895	-18,846	-18,832	-18,798	-18,757	-18,712	-18,610	-18,494	0,044	0,239	0,295	0,443	0,432	0,365	0,318	0,277	0,239	0,198	0,196	0,210	0,225	0,233	0,175	0,000	0,000
4,000	-10,696	-10,725	-10,649	-10,642	-10,608	-10,612	-10,604	-10,607	-10,602	-10,581	-10,546	-10,480	-10,353	-10,157	-9,896	-0,175	0,009	0,008	0,046	0,056	0,064	0,075	0,090	0,125	0,184	0,257	0,331	0,405	0,460	0,374	0,000	0,000
5,000	-12,311	-12,308	-12,441	-12,483	-12,459	-12,445	-12,430	-12,430	-12,398	-12,400	-12,356	-12,275	-12,149	-11,916	-11,618	-0,083	-0,174	-0,126	-0,011	0,021	0,037	0,073	0,105	0,140	0,189	0,275	0,372	0,463	0,516	0,417	0,000	0,000
6,000	-8,735	-8,733	-8,639	-8,510	-8,406	-8,347	-8,318	-8,291	-8,251	-8,226	-8,173	-8,112	-8,018	-7,875	-7,700	-0,047	0,122	0,163	0,227	0,222	0,199	0,195	0,193	0,201	0,222	0,250	0,289	0,322	0,337	0,265	0,000	0,000
7,000	-7,322	-7,253	-7,236	-7,139	-7,077	-7,040	-7,022	-7,009	-6,989	-6,988	-6,972	-6,954	-6,926	-6,873	-6,815	0,025	0,064	0,095	0,143	0,130	0,104	0,097	0,091	0,084	0,078	0,090	0,099	0,110	0,115	0,086	0,000	0,000
8,000	-20,596	-20,916	-20,959	-21,167	-21,174	-21,226	-21,267	-21,290	-21,302	-21,358	-21,364	-21,385	-21,384	-21,339	-21,285	-0,614	-0,402	-0,393	-0,257	-0,191	-0,171	-0,154	-0,139	-0,117	-0,096	-0,056	-0,014	0,022	0,065	0,071	0,000	0,000
9,000	-10,042	-9,957	-9,859	-9,609	-9,459	-9,356	-9,297	-9,249	-9,200	-9,164	-9,116	-9,054	-8,963	-8,833	-8,675	0,091	0,232	0,305	0,379	0,368	0,321	0,301	0,271	0,258	0,253	0,272	0,301	0,311	0,319	0,242	0,000	0,000
10,000	-10,199	-10,221	-10,103	-9,966	-9,880	-9,842	-9,817	-9,804	-9,778	-9,770	-9,745	-9,707	-9,640	-9,544	-9,420	-0,155	0,096	0,128	0,188	0,162	0,148	0,137	0,133	0,130	0,145	0,166	0,179	0,222	0,225	0,181	0,000	0,000
11,000	-10,178	-10,110	-10,070	-9,929	-9,849	-9,794	-9,767	-9,746	-9,715	-9,694	-9,654	-9,609	-9,538	-9,433	-9,309	0,011	0,106	0,146	0,199	0,192	0,169	0,166	0,159	0,161	0,170	0,193	0,214	0,240	0,250	0,188	0,000	0,000
12,000	-15,952	-15,944	-15,879	-15,812	-15,757	-15,736	-15,726	-15,721	-15,706	-15,720	-15,689	-15,670	-15,622	-15,523	-15,415	-0,075	0,050	0,083	0,112	0,096	0,073	0,070	0,068	0,078	0,084	0,110	0,149	0,180	0,208	0,162	0,000	0,000
13,000	-7,822	-7,900	-7,715	-7,729	-7,684	-7,668	-7,649	-7,625	-7,606	-7,573	-7,525	-7,465	-7,380	-7,248	-7,081	0,290	0,268	0,208	0,125	0,129	0,139	0,141	0,152	0,161	0,189	0,228	0,260	0,295	0,310	0,245	0,000	0,000
14,000	-11,001	-10,677	-10,765	-10,624	-10,634	-10,595	-10,569	-10,568	-10,555	-10,553	-10,545	-10,503	-10,437	-10,305	-10,127	0,518	0,210	0,219	0,162	0,126	0,095	0,098	0,082	0,099	0,122	0,156	0,204	0,259	0,289	0,245	0,000	0,000
15,000	-9,145	-9,232	-9,181	-9,163	-9,134	-9,131	-9,117	-9,107	-9,093	-9,080	-9,058	-9,029	-8,986	-8,921	-8,839	-0,222	-0,021	-0,013	0,037	0,044	0,062	0,066	0,075	0,075	0,089	0,113	0,125	0,144	0,151	0,122	0,000	0,000
	run	2	2022:11:08    11:50:58,754
0,000	-12,806	-12,872	-12,913	-12,999	-13,023	-13,042	-13,059	-13,064	-13,067	-13,072	-13,070	-13,047	-13,010	-12,929	-12,834	-0,215	-0,175	-0,167	-0,117	-0,099	-0,071	-0,041	-0,027	-0,000	0,023	0,062	0,098	0,140	0,160	0,128	0,000	0,000
1,000	-16,481	-16,463	-16,372	-16,157	-15,983	-15,869	-15,795	-15,737	-15,670	-15,632	-15,569	-15,523	-15,461	-15,362	-15,263	0,065	0,202	0,271	0,380	0,398	0,353	0,336	0,306	0,280	0,252	0,251	0,247	0,236	0,232	0,168	0,000	0,000
2,000	-9,855	-9,876	-9,829	-9,726	-9,626	-9,560	-9,514	-9,475	-9,426	-9,393	-9,328	-9,262	-9,171	-9,030	-8,880	0,026	0,092	0,130	0,223	0,233	0,221	0,231	0,230	0,235	0,236	0,264	0,292	0,313	0,316	0,238	0,000	0,000
3,000	-19,712	-19,701	-19,627	-19,348	-19,150	-19,018	-18,954	-18,895	-18,846	-18,832	-18,798	-18,757	-18,712	-18,610	-18,494	0,044	0,239	0,295	0,443	0,432	0,365	0,318	0,277	0,239	0,198	0,196	0,210	0,225	0,233	0,175	0,000	0,000
4,000	-10,696	-10,725	-10,649	-10,642	-10,608	-10,612	-10,604	-10,607	-10,602	-10,581	-10,546	-10,480	-10,353	-10,157	-9,896	-0,175	0,009	0,008	0,046	0,056	0,064	0,075	0,090	0,125	0,184	0,257	0,331	0,405	0,460	0,374	0,000	0,000
5,000	-12,311	-12,308	-12,441	-12,483	-12,459	-12,445	-12,430	-12,430	-12,398	-12,400	-12,356	-12,275	-12,149	-11,916	-11,618	-0,083	-0,174	-0,126	-0,011	0,021	0,037	0,073	0,105	0,140	0,189	0,275	0,372	0,463	0,516	0,417	0,000	0,000
6,000	-8,735	-8,733	-8,639	-8,510	-8,406	-8,347	-8,318	-8,291	-8,251	-8,226	-8,173	-8,112	-8,018	-7,875	-7,700	-0,047	0,122	0,163	0,227	0,222	0,199	0,195	0,193	0,201	0,222	0,250	0,289	0,322	0,337	0,265	0,000	0,000
7,000	-7,322	-7,253	-7,236	-7,139	-7,077	-7,040	-7,022	-7,009	-6,989	-6,988	-6,972	-6,954	-6,926	-6,873	-6,815	0,025	0,064	0,095	0,143	0,130	0,104	0,097	0,091	0,084	0,078	0,090	0,099	0,110	0,115	0,086	0,000	0,000
8,000	-20,855	-21,136	-21,174	-21,363	-21,363	-21,419	-21,448	-21,471	-21,486	-21,536	-21,545	-21,559	-21,551	-21,504	-21,437	-0,611	-0,351	-0,351	-0,237	-0,173	-0,164	-0,138	-0,119	-0,107	-0,085	-0,037	0,010	0,039	0,083	0,078	0,000	0,000
9,000	-10,133	-10,067	-9,986	-9,749	-9,609	-9,496	-9,437	-9,396	-9,343	-9,309	-9,253	-9,191	-9,100	-8,973	-8,817	0,059	0,187	0,270	0,361	0,362	0,319	0,301	0,276	0,257	0,257	0,275	0,296	0,317	0,319	0,241	0,000	0,000
10,000	-10,304	-10,311	-10,190	-10,047	-9,968	-9,928	-9,906	-9,888	-9,862	-9,852	-9,826	-9,792	-9,729	-9,628	-9,511	-0,120	0,116	0,142	0,196	0,165	0,145	0,134	0,130	0,123	0,137	0,158	0,181	0,218	0,230	0,181	0,000	0,000
11,000	-10,285	-10,207	-10,166	-10,021	-9,938	-9,888	-9,861	-9,836	-9,802	-9,784	-9,739	-9,696	-9,626	-9,525	-9,397	0,027	0,119	0,150	0,205	0,199	0,173	0,168	0,157	0,159	0,168	0,191	0,218	0,242	0,250	0,189	0,000	0,000
12,000	-15,552	-15,557	-15,487	-15,427	-15,374	-15,351	-15,344	-15,341	-15,325	-15,339	-15,320	-15,292	-15,250	-15,159	-15,054	-0,064	0,060	0,078	0,109	0,085	0,063	0,068	0,070	0,067	0,072	0,108	0,136	0,167	0,194	0,150	0,000	0,000
