Device: PM2003001		2022:11:08    11:48:45,250  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:48:45,253
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,327	-13,443	-13,477	-13,586	-13,609	-13,637	-13,648	-13,656	-13,656	-13,669	-13,667	-13,639	-13,600	-13,521	-13,426	-0,351	-0,251	-0,213	-0,146	-0,113	-0,083	-0,054	-0,030	-0,011	0,016	0,052	0,100	0,138	0,159	0,127	0,000	0,000
1,000	-17,098	-17,113	-17,065	-16,853	-16,680	-16,567	-16,495	-16,433	-16,369	-16,341	-16,281	-16,227	-16,175	-16,082	-15,991	-0,186	0,073	0,177	0,339	0,359	0,326	0,309	0,284	0,262	0,240	0,234	0,229	0,221	0,215	0,154	0,000	0,000
2,000	-10,694	-10,670	-10,625	-10,484	-10,375	-10,302	-10,255	-10,210	-10,157	-10,126	-10,061	-9,997	-9,912	-9,787	-9,653	-0,035	0,086	0,151	0,243	0,256	0,237	0,244	0,241	0,240	0,248	0,259	0,280	0,294	0,288	0,214	0,000	0,000
3,000	-16,661	-16,217	-15,958	-15,535	-15,305	-15,170	-15,101	-15,047	-15,007	-14,992	-14,970	-14,964	-14,949	-14,925	-14,900	1,695	1,274	1,062	0,793	0,646	0,492	0,408	0,319	0,248	0,184	0,140	0,114	0,090	0,082	0,048	0,000	0,000
4,000	-4,173	-3,929	-3,798	-3,701	-3,654	-3,649	-3,640	-3,626	-3,620	-3,616	-3,585	-3,532	-3,451	-3,311	-3,127	1,855	1,092	0,755	0,386	0,263	0,200	0,171	0,157	0,149	0,166	0,207	0,250	0,303	0,329	0,268	0,000	0,000
5,000	-6,617	-6,030	-5,950	-5,771	-5,715	-5,666	-5,641	-5,623	-5,593	-5,587	-5,548	-5,471	-5,366	-5,184	-4,953	2,368	1,304	0,944	0,520	0,391	0,285	0,263	0,238	0,233	0,241	0,286	0,343	0,386	0,425	0,338	0,000	0,000
6,000	-8,857	-8,793	-8,686	-8,535	-8,431	-8,381	-8,343	-8,316	-8,272	-8,248	-8,196	-8,127	-8,038	-7,896	-7,716	0,046	0,193	0,216	0,252	0,240	0,210	0,211	0,204	0,213	0,220	0,257	0,300	0,323	0,344	0,262	0,000	0,000
7,000	-7,316	-7,225	-7,218	-7,102	-7,045	-7,004	-6,982	-6,976	-6,954	-6,950	-6,938	-6,912	-6,891	-6,841	-6,782	0,102	0,104	0,123	0,163	0,133	0,102	0,106	0,088	0,080	0,077	0,090	0,098	0,108	0,112	0,083	0,000	0,000
8,000	-20,282	-20,500	-20,522	-20,699	-20,702	-20,749	-20,775	-20,809	-20,825	-20,869	-20,871	-20,893	-20,887	-20,833	-20,767	-0,376	-0,285	-0,276	-0,187	-0,152	-0,141	-0,129	-0,121	-0,097	-0,070	-0,035	0,014	0,047	0,082	0,082	0,000	0,000
9,000	-9,794	-9,702	-9,609	-9,361	-9,210	-9,109	-9,041	-9,000	-8,948	-8,910	-8,859	-8,801	-8,716	-8,577	-8,419	0,171	0,260	0,325	0,396	0,383	0,331	0,304	0,280	0,265	0,253	0,275	0,295	0,315	0,326	0,244	0,000	0,000
10,000	-9,613	-9,630	-9,507	-9,379	-9,295	-9,258	-9,231	-9,215	-9,190	-9,183	-9,156	-9,115	-9,051	-8,949	-8,827	-0,037	0,166	0,168	0,200	0,171	0,155	0,145	0,135	0,135	0,143	0,159	0,187	0,222	0,236	0,186	0,000	0,000
11,000	-9,566	-9,454	-9,414	-9,262	-9,181	-9,124	-9,093	-9,070	-9,038	-9,016	-8,976	-8,926	-8,857	-8,754	-8,617	0,142	0,178	0,193	0,226	0,209	0,187	0,184	0,171	0,172	0,179	0,207	0,229	0,249	0,259	0,198	0,000	0,000
12,000	-14,733	-14,789	-14,688	-14,652	-14,588	-14,573	-14,577	-14,563	-14,549	-14,567	-14,547	-14,510	-14,456	-14,337	-14,207	0,007	0,101	0,102	0,100	0,093	0,076	0,072	0,074	0,079	0,088	0,131	0,177	0,218	0,240	0,193	0,000	0,000
13,000	-8,153	-8,177	-8,154	-8,170	-8,151	-8,130	-8,117	-8,096	-8,066	-8,031	-7,980	-7,910	-7,800	-7,644	-7,434	-0,013	0,006	0,007	0,048	0,073	0,097	0,123	0,140	0,168	0,206	0,257	0,309	0,358	0,381	0,304	0,000	0,000
14,000	-11,560	-11,416	-11,502	-11,434	-11,428	-11,399	-11,386	-11,387	-11,374	-11,364	-11,349	-11,310	-11,232	-11,093	-10,906	0,042	-0,063	0,007	0,051	0,058	0,062	0,072	0,070	0,084	0,118	0,157	0,214	0,287	0,320	0,268	0,000	0,000
15,000	-8,947	-9,102	-9,006	-9,017	-8,976	-8,978	-8,972	-8,953	-8,934	-8,927	-8,904	-8,873	-8,829	-8,759	-8,673	-0,277	-0,022	-0,034	0,026	0,039	0,056	0,061	0,079	0,074	0,090	0,111	0,129	0,149	0,161	0,130	0,000	0,000
	run	2	2022:11:08    11:48:45,305
0,000	-13,327	-13,443	-13,477	-13,586	-13,609	-13,637	-13,648	-13,656	-13,656	-13,669	-13,667	-13,639	-13,600	-13,521	-13,426	-0,351	-0,251	-0,213	-0,146	-0,113	-0,083	-0,054	-0,030	-0,011	0,016	0,052	0,100	0,138	0,159	0,127	0,000	0,000
1,000	-17,098	-17,113	-17,065	-16,853	-16,680	-16,567	-16,495	-16,433	-16,369	-16,341	-16,281	-16,227	-16,175	-16,082	-15,991	-0,186	0,073	0,177	0,339	0,359	0,326	0,309	0,284	0,262	0,240	0,234	0,229	0,221	0,215	0,154	0,000	0,000
