Device: PM2003001		2022:11:08    10:57:58,179  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:57:58,182
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,883	-12,948	-12,966	-13,030	-13,041	-13,052	-13,060	-13,065	-13,057	-13,059	-13,049	-13,029	-12,975	-12,890	-12,778	-0,140	-0,113	-0,108	-0,073	-0,055	-0,031	-0,009	0,003	0,027	0,046	0,081	0,130	0,167	0,191	0,155	0,000	0,000
1,000	-16,431	-16,423	-16,342	-16,167	-16,038	-15,939	-15,888	-15,843	-15,799	-15,766	-15,726	-15,693	-15,634	-15,545	-15,439	0,038	0,172	0,216	0,305	0,309	0,282	0,260	0,231	0,211	0,204	0,203	0,208	0,217	0,222	0,170	0,000	0,000
2,000	-9,818	-9,816	-9,786	-9,683	-9,589	-9,512	-9,469	-9,432	-9,391	-9,351	-9,293	-9,229	-9,136	-8,992	-8,825	0,027	0,078	0,135	0,212	0,238	0,225	0,229	0,219	0,226	0,244	0,264	0,295	0,325	0,334	0,248	0,000	0,000
3,000	-19,545	-19,534	-19,501	-19,252	-19,071	-18,948	-18,883	-18,829	-18,772	-18,766	-18,722	-18,683	-18,630	-18,527	-18,407	0,115	0,182	0,267	0,403	0,404	0,336	0,304	0,269	0,241	0,213	0,211	0,226	0,231	0,241	0,184	0,000	0,000
4,000	-10,684	-10,788	-10,694	-10,677	-10,640	-10,641	-10,635	-10,628	-10,625	-10,609	-10,568	-10,505	-10,361	-10,140	-9,851	-0,256	0,012	-0,012	0,042	0,050	0,076	0,086	0,100	0,131	0,194	0,280	0,359	0,458	0,514	0,417	0,000	0,000
5,000	-12,215	-12,119	-12,294	-12,313	-12,325	-12,294	-12,282	-12,285	-12,253	-12,253	-12,204	-12,114	-11,972	-11,718	-11,394	0,023	-0,189	-0,122	-0,014	0,022	0,037	0,084	0,117	0,161	0,212	0,301	0,413	0,508	0,572	0,456	0,000	0,000
6,000	-8,047	-7,986	-7,853	-7,702	-7,597	-7,535	-7,498	-7,468	-7,436	-7,409	-7,369	-7,321	-7,268	-7,168	-7,057	0,196	0,294	0,277	0,282	0,260	0,226	0,206	0,191	0,188	0,180	0,199	0,205	0,223	0,234	0,173	0,000	0,000
7,000	-3,566	-3,328	-3,236	-3,118	-3,066	-3,036	-3,023	-3,015	-3,005	-2,997	-2,992	-2,980	-2,973	-2,959	-2,935	1,263	0,746	0,540	0,314	0,227	0,160	0,131	0,098	0,086	0,065	0,057	0,050	0,051	0,042	0,032	0,000	0,000
8,000	-13,157	-12,439	-12,116	-11,910	-11,831	-11,814	-11,821	-11,830	-11,852	-11,878	-11,905	-11,923	-11,938	-11,931	-11,911	3,179	1,921	1,358	0,650	0,427	0,255	0,161	0,090	0,041	0,007	-0,004	-0,003	-0,002	0,024	0,029	0,000	0,000
9,000	-8,998	-8,744	-8,625	-8,378	-8,231	-8,109	-8,048	-7,996	-7,948	-7,906	-7,864	-7,821	-7,764	-7,687	-7,606	0,643	0,506	0,488	0,454	0,422	0,356	0,328	0,284	0,258	0,231	0,218	0,214	0,206	0,196	0,139	0,000	0,000
10,000	-10,551	-10,523	-10,343	-10,146	-10,035	-9,985	-9,960	-9,943	-9,922	-9,921	-9,900	-9,874	-9,825	-9,747	-9,661	-0,178	0,155	0,211	0,261	0,216	0,182	0,151	0,133	0,117	0,122	0,132	0,138	0,168	0,172	0,138	0,000	0,000
11,000	-10,930	-10,873	-10,853	-10,713	-10,629	-10,574	-10,544	-10,525	-10,490	-10,479	-10,442	-10,398	-10,340	-10,236	-10,125	-0,076	0,036	0,096	0,180	0,184	0,156	0,154	0,151	0,153	0,154	0,179	0,200	0,217	0,228	0,170	0,000	0,000
