Device: PM2003001		2022:11:08    10:53:13,225  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    10:53:13,227
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,137	-13,226	-13,248	-13,343	-13,364	-13,375	-13,380	-13,383	-13,392	-13,397	-13,385	-13,367	-13,327	-13,247	-13,154	-0,293	-0,223	-0,189	-0,118	-0,087	-0,052	-0,031	-0,016	0,002	0,030	0,058	0,102	0,140	0,160	0,126	0,000	0,000
1,000	-16,803	-16,815	-16,747	-16,574	-16,436	-16,345	-16,290	-16,245	-16,205	-16,174	-16,139	-16,096	-16,047	-15,965	-15,867	-0,070	0,102	0,175	0,289	0,298	0,266	0,252	0,220	0,209	0,197	0,195	0,197	0,200	0,207	0,153	0,000	0,000
2,000	-10,191	-10,194	-10,170	-10,053	-9,954	-9,879	-9,834	-9,799	-9,759	-9,718	-9,664	-9,598	-9,504	-9,358	-9,196	-0,018	0,061	0,126	0,223	0,236	0,228	0,226	0,219	0,228	0,235	0,264	0,301	0,326	0,329	0,251	0,000	0,000
3,000	-20,507	-20,487	-20,441	-20,134	-19,932	-19,799	-19,732	-19,675	-19,623	-19,610	-19,565	-19,526	-19,476	-19,369	-19,252	0,087	0,246	0,317	0,462	0,443	0,368	0,326	0,286	0,253	0,212	0,205	0,226	0,231	0,239	0,185	0,000	0,000
4,000	-11,036	-11,163	-11,067	-11,050	-11,009	-11,026	-11,021	-11,016	-11,006	-10,997	-10,958	-10,886	-10,748	-10,532	-10,237	-0,361	-0,036	-0,025	0,040	0,040	0,067	0,079	0,094	0,121	0,184	0,265	0,355	0,451	0,509	0,416	0,000	0,000
5,000	-12,794	-12,729	-12,909	-12,942	-12,948	-12,921	-12,904	-12,903	-12,870	-12,865	-12,826	-12,727	-12,581	-12,318	-11,981	-0,031	-0,211	-0,156	-0,023	0,015	0,038	0,082	0,112	0,161	0,217	0,316	0,416	0,520	0,580	0,477	0,000	0,000
6,000	-9,041	-9,051	-8,962	-8,808	-8,703	-8,639	-8,610	-8,582	-8,539	-8,520	-8,473	-8,405	-8,311	-8,159	-7,978	-0,070	0,128	0,162	0,238	0,237	0,210	0,205	0,202	0,210	0,216	0,248	0,294	0,332	0,348	0,272	0,000	0,000
7,000	-7,271	-7,244	-7,227	-7,147	-7,095	-7,067	-7,044	-7,044	-7,023	-7,019	-7,007	-6,991	-6,963	-6,910	-6,858	-0,010	0,028	0,065	0,118	0,105	0,088	0,081	0,080	0,072	0,071	0,081	0,091	0,100	0,107	0,082	0,000	0,000
8,000	-20,123	-20,352	-20,342	-20,469	-20,453	-20,510	-20,546	-20,569	-20,596	-20,655	-20,666	-20,685	-20,690	-20,641	-20,584	-0,352	-0,203	-0,193	-0,152	-0,131	-0,141	-0,136	-0,133	-0,111	-0,102	-0,054	-0,011	0,027	0,065	0,061	0,000	0,000
9,000	-9,530	-9,520	-9,471	-9,311	-9,184	-9,069	-9,010	-8,954	-8,898	-8,857	-8,796	-8,737	-8,658	-8,533	-8,390	-0,001	0,095	0,171	0,298	0,325	0,306	0,296	0,267	0,267	0,260	0,268	0,283	0,297	0,297	0,228	0,000	0,000
10,000	-9,335	-9,367	-9,237	-9,125	-9,032	-8,995	-8,980	-8,959	-8,938	-8,944	-8,920	-8,894	-8,832	-8,744	-8,637	-0,108	0,146	0,141	0,186	0,161	0,144	0,128	0,113	0,103	0,116	0,135	0,158	0,189	0,204	0,163	0,000	0,000
11,000	-9,947	-9,849	-9,832	-9,704	-9,628	-9,573	-9,540	-9,523	-9,486	-9,475	-9,436	-9,394	-9,329	-9,222	-9,105	0,075	0,115	0,132	0,196	0,188	0,161	0,157	0,155	0,158	0,161	0,181	0,204	0,225	0,237	0,180	0,000	0,000
12,000	-14,370	-14,403	-14,371	-14,333	-14,284	-14,269	-14,260	-14,254	-14,238	-14,251	-14,230	-14,195	-14,141	-14,041	-13,919	-0,152	-0,030	0,012	0,065	0,067	0,054	0,058	0,061	0,074	0,085	0,119	0,156	0,193	0,215	0,178	0,000	0,000
13,000	-7,681	-7,586	-7,530	-7,510	-7,479	-7,466	-7,447	-7,435	-7,407	-7,394	-7,356	-7,299	-7,230	-7,121	-6,984	0,396	0,266	0,184	0,123	0,108	0,102	0,109	0,123	0,135	0,155	0,186	0,214	0,246	0,258	0,203	0,000	0,000
14,000	-7,698	-7,059	-7,028	-6,814	-6,783	-6,741	-6,716	-6,704	-6,687	-6,677	-6,656	-6,626	-6,553	-6,444	-6,305	1,941	1,072	0,810	0,437	0,309	0,225	0,193	0,166	0,156	0,151	0,174	0,213	0,245	0,262	0,209	0,000	0,000
15,000	-7,368	-7,235	-7,083	-7,011	-6,955	-6,949	-6,938	-6,926	-6,910	-6,909	-6,895	-6,875	-6,839	-6,783	-6,721	0,667	0,525	0,366	0,209	0,155	0,123	0,104	0,097	0,082	0,085	0,094	0,104	0,120	0,130	0,103	0,000	0,000
	run	2	2022:11:08    10:53:13,281
0,000	-13,137	-13,226	-13,248	-13,343	-13,364	-13,375	-13,380	-13,383	-13,392	-13,397	-13,385	-13,367	-13,327	-13,247	-13,154	-0,293	-0,223	-0,189	-0,118	-0,087	-0,052	-0,031	-0,016	0,002	0,030	0,058	0,102	0,140	0,160	0,126	0,000	0,000
1,000	-16,803	-16,815	-16,747	-16,574	-16,436	-16,345	-16,290	-16,245	-16,205	-16,174	-16,139	-16,096	-16,047	-15,965	-15,867	-0,070	0,102	0,175	0,289	0,298	0,266	0,252	0,220	0,209	0,197	0,195	0,197	0,200	0,207	0,153	0,000	0,000
2,000	-10,191	-10,194	-10,170	-10,053	-9,954	-9,879	-9,834	-9,799	-9,759	-9,718	-9,664	-9,598	-9,504	-9,358	-9,196	-0,018	0,061	0,126	0,223	0,236	0,228	0,226	0,219	0,228	0,235	0,264	0,301	0,326	0,329	0,251	0,000	0,000
3,000	-20,507	-20,487	-20,441	-20,134	-19,932	-19,799	-19,732	-19,675	-19,623	-19,610	-19,565	-19,526	-19,476	-19,369	-19,252	0,087	0,246	0,317	0,462	0,443	0,368	0,326	0,286	0,253	0,212	0,205	0,226	0,231	0,239	0,185	0,000	0,000
4,000	-11,036	-11,163	-11,067	-11,050	-11,009	-11,026	-11,021	-11,016	-11,006	-10,997	-10,958	-10,886	-10,748	-10,532	-10,237	-0,361	-0,036	-0,025	0,040	0,040	0,067	0,079	0,094	0,121	0,184	0,265	0,355	0,451	0,509	0,416	0,000	0,000
5,000	-12,794	-12,729	-12,909	-12,942	-12,948	-12,921	-12,904	-12,903	-12,870	-12,865	-12,826	-12,727	-12,581	-12,318	-11,981	-0,031	-0,211	-0,156	-0,023	0,015	0,038	0,082	0,112	0,161	0,217	0,316	0,416	0,520	0,580	0,477	0,000	0,000
6,000	-8,969	-8,985	-8,879	-8,732	-8,629	-8,570	-8,539	-8,513	-8,467	-8,452	-8,399	-8,330	-8,247	-8,099	-7,916	-0,071	0,132	0,176	0,236	0,231	0,205	0,205	0,195	0,205	0,213	0,249	0,291	0,325	0,342	0,265	0,000	0,000
7,000	-7,120	-7,095	-7,085	-7,002	-6,955	-6,918	-6,904	-6,901	-6,881	-6,876	-6,865	-6,846	-6,826	-6,775	-6,723	-0,011	0,016	0,061	0,116	0,100	0,084	0,082	0,073	0,068	0,070	0,078	0,086	0,097	0,098	0,077	0,000	0,000
8,000	-19,746	-19,952	-19,954	-20,074	-20,054	-20,104	-20,143	-20,173	-20,194	-20,248	-20,267	-20,283	-20,287	-20,242	-20,182	-0,340	-0,183	-0,189	-0,136	-0,124	-0,138	-0,136	-0,132	-0,117	-0,094	-0,057	-0,008	0,023	0,061	0,065	0,000	0,000
9,000	-9,307	-9,310	-9,247	-9,118	-8,987	-8,880	-8,821	-8,775	-8,715	-8,671	-8,618	-8,557	-8,481	-8,362	-8,221	-0,009	0,074	0,148	0,286	0,305	0,290	0,281	0,260	0,251	0,250	0,263	0,278	0,290	0,292	0,219	0,000	0,000
10,000	-9,519	-9,541	-9,409	-9,265	-9,175	-9,130	-9,106	-9,092	-9,068	-9,074	-9,055	-9,023	-8,962	-8,874	-8,768	-0,055	0,152	0,176	0,215	0,181	0,154	0,134	0,118	0,110	0,122	0,136	0,155	0,194	0,204	0,160	0,000	0,000
11,000	-10,082	-10,001	-9,973	-9,838	-9,758	-9,707	-9,678	-9,655	-9,626	-9,605	-9,574	-9,528	-9,468	-9,363	-9,244	0,072	0,115	0,149	0,193	0,190	0,158	0,163	0,151	0,152	0,160	0,183	0,203	0,224	0,234	0,176	0,000	0,000
12,000	-14,620	-14,657	-14,628	-14,585	-14,535	-14,518	-14,506	-14,504	-14,484	-14,501	-14,475	-14,438	-14,393	-14,283	-14,163	-0,164	-0,031	0,004	0,064	0,064	0,060	0,066	0,070	0,076	0,083	0,122	0,159	0,197	0,220	0,174	0,000	0,000
13,000	-7,678	-7,575	-7,534	-7,500	-7,471	-7,465	-7,445	-7,430	-7,403	-7,387	-7,346	-7,298	-7,220	-7,112	-6,980	0,404	0,264	0,185	0,130	0,108	0,104	0,114	0,128	0,137	0,153	0,186	0,213	0,250	0,253	0,204	0,000	0,000
14,000	-7,744	-7,123	-7,080	-6,858	-6,821	-6,779	-6,753	-6,751	-6,724	-6,716	-6,698	-6,659	-6,597	-6,479	-6,334	1,951	1,080	0,826	0,445	0,316	0,229	0,200	0,171	0,155	0,153	0,183	0,212	0,247	0,266	0,214	0,000	0,000
15,000	-7,354	-7,208	-7,063	-6,985	-6,933	-6,922	-6,915	-6,900	-6,887	-6,884	-6,872	-6,855	-6,815	-6,760	-6,696	0,674	0,534	0,373	0,215	0,158	0,123	0,111	0,095	0,084	0,087	0,088	0,106	0,126	0,127	0,104	0,000	0,000
	run	3	2022:11:08    10:53:13,381
0,000	-13,681	-13,799	-13,837	-13,933	-13,952	-13,974	-13,984	-13,988	-13,986	-13,994	-13,986	-13,958	-13,913	-13,827	-13,725	-0,317	-0,228	-0,194	-0,129	-0,094	-0,058	-0,038	-0,019	0,006	0,032	0,068	0,113	0,153	0,179	0,145	0,000	0,000
1,000	-17,623	-17,614	-17,538	-17,308	-17,157	-17,049	-16,987	-16,937	-16,894	-16,869	-16,823	-16,780	-16,727	-16,637	-16,529	-0,029	0,154	0,241	0,335	0,344	0,306	0,285	0,248	0,226	0,210	0,214	0,212	0,226	0,225	0,175	0,000	0,000
2,000	-10,695	-10,687	-10,645	-10,506	-10,408	-10,326	-10,280	-10,242	-10,191	-10,158	-10,104	-10,026	-9,921	-9,771	-9,589	0,028	0,098	0,153	0,250	0,256	0,242	0,238	0,233	0,244	0,253	0,286	0,328	0,354	0,360	0,275	0,000	0,000
