Device: PM2003001		2022:11:08    11:16:33,888  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:16:33,890
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-4,875	-4,555	-4,410	-4,296	-4,229	-4,206	-4,192	-4,179	-4,163	-4,160	-4,147	-4,122	-4,093	-4,038	-3,976	2,489	1,399	0,992	0,492	0,346	0,249	0,198	0,164	0,136	0,118	0,112	0,120	0,129	0,126	0,098	0,000	0,000
1,000	-17,268	-17,135	-17,016	-16,804	-16,650	-16,545	-16,487	-16,432	-16,386	-16,362	-16,315	-16,279	-16,241	-16,184	-16,117	0,154	0,294	0,314	0,368	0,361	0,313	0,286	0,251	0,223	0,193	0,185	0,174	0,166	0,156	0,113	0,000	0,000
2,000	-10,684	-10,735	-10,700	-10,577	-10,472	-10,401	-10,355	-10,316	-10,267	-10,238	-10,181	-10,106	-10,025	-9,882	-9,732	-0,127	0,016	0,089	0,216	0,229	0,220	0,228	0,224	0,230	0,237	0,265	0,295	0,312	0,315	0,235	0,000	0,000
3,000	-20,619	-20,641	-20,587	-20,309	-20,100	-19,980	-19,910	-19,851	-19,800	-19,787	-19,749	-19,713	-19,668	-19,569	-19,467	-0,097	0,159	0,247	0,419	0,414	0,354	0,315	0,267	0,238	0,196	0,196	0,207	0,213	0,218	0,165	0,000	0,000
4,000	-10,968	-11,058	-10,974	-10,966	-10,929	-10,925	-10,926	-10,919	-10,916	-10,902	-10,865	-10,794	-10,669	-10,458	-10,182	-0,328	-0,037	-0,040	0,026	0,041	0,057	0,077	0,095	0,118	0,177	0,264	0,342	0,431	0,483	0,400	0,000	0,000
5,000	-12,167	-12,106	-12,267	-12,296	-12,294	-12,273	-12,258	-12,265	-12,233	-12,225	-12,184	-12,097	-11,962	-11,713	-11,403	-0,018	-0,186	-0,146	-0,019	0,009	0,025	0,081	0,108	0,152	0,201	0,283	0,392	0,488	0,550	0,447	0,000	0,000
6,000	-8,381	-8,398	-8,295	-8,178	-8,071	-8,016	-7,987	-7,960	-7,924	-7,901	-7,852	-7,792	-7,698	-7,546	-7,366	-0,023	0,132	0,167	0,222	0,219	0,198	0,198	0,189	0,196	0,215	0,252	0,292	0,329	0,352	0,273	0,000	0,000
7,000	-6,814	-6,768	-6,753	-6,686	-6,631	-6,610	-6,590	-6,581	-6,560	-6,558	-6,541	-6,515	-6,488	-6,441	-6,384	0,057	0,057	0,081	0,114	0,106	0,086	0,084	0,077	0,080	0,075	0,085	0,097	0,107	0,114	0,090	0,000	0,000
8,000	-20,037	-20,239	-20,256	-20,393	-20,385	-20,445	-20,480	-20,513	-20,534	-20,590	-20,601	-20,621	-20,618	-20,570	-20,509	-0,320	-0,221	-0,209	-0,166	-0,139	-0,147	-0,141	-0,134	-0,117	-0,100	-0,047	-0,005	0,033	0,081	0,073	0,000	0,000
9,000	-9,767	-9,720	-9,634	-9,432	-9,283	-9,161	-9,097	-9,039	-8,981	-8,941	-8,888	-8,823	-8,735	-8,605	-8,447	0,097	0,187	0,259	0,364	0,367	0,338	0,321	0,296	0,282	0,271	0,287	0,301	0,314	0,322	0,242	0,000	0,000
10,000	-9,757	-9,716	-9,579	-9,404	-9,308	-9,268	-9,246	-9,232	-9,207	-9,208	-9,181	-9,152	-9,085	-8,983	-8,870	0,040	0,226	0,231	0,243	0,197	0,165	0,140	0,133	0,119	0,132	0,149	0,180	0,214	0,224	0,184	0,000	0,000
