Device: PM2003001		2022:11:08    11:07:58,184  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:07:58,187
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-12,617	-12,678	-12,707	-12,769	-12,785	-12,799	-12,802	-12,810	-12,805	-12,816	-12,798	-12,771	-12,726	-12,641	-12,532	-0,151	-0,118	-0,113	-0,077	-0,057	-0,031	-0,015	-0,003	0,023	0,043	0,081	0,123	0,164	0,183	0,154	0,000	0,000
1,000	-16,443	-16,432	-16,342	-16,186	-16,054	-15,954	-15,901	-15,858	-15,819	-15,782	-15,739	-15,694	-15,640	-15,539	-15,432	0,017	0,158	0,199	0,287	0,306	0,277	0,264	0,233	0,213	0,205	0,208	0,219	0,226	0,231	0,184	0,000	0,000
2,000	-10,081	-10,063	-10,037	-9,903	-9,799	-9,728	-9,682	-9,644	-9,591	-9,566	-9,500	-9,430	-9,340	-9,192	-9,026	0,081	0,118	0,163	0,240	0,252	0,231	0,237	0,233	0,236	0,249	0,275	0,300	0,326	0,329	0,250	0,000	0,000
3,000	-19,935	-19,911	-19,865	-19,584	-19,393	-19,265	-19,198	-19,140	-19,088	-19,076	-19,037	-18,996	-18,947	-18,842	-18,725	0,125	0,243	0,297	0,433	0,425	0,358	0,322	0,277	0,242	0,208	0,204	0,213	0,226	0,236	0,176	0,000	0,000
4,000	-10,600	-10,691	-10,589	-10,583	-10,553	-10,535	-10,545	-10,533	-10,534	-10,516	-10,481	-10,407	-10,277	-10,068	-9,786	-0,225	0,012	-0,002	0,051	0,053	0,067	0,084	0,097	0,125	0,188	0,262	0,356	0,440	0,493	0,405	0,000	0,000
5,000	-11,970	-11,917	-12,050	-12,076	-12,069	-12,045	-12,033	-12,032	-12,008	-11,997	-11,953	-11,870	-11,727	-11,480	-11,164	0,036	-0,132	-0,085	0,000	0,027	0,041	0,085	0,114	0,156	0,203	0,293	0,397	0,496	0,552	0,444	0,000	0,000
6,000	-8,622	-8,621	-8,537	-8,399	-8,301	-8,243	-8,216	-8,185	-8,149	-8,128	-8,084	-8,011	-7,932	-7,782	-7,610	-0,041	0,114	0,155	0,220	0,219	0,193	0,193	0,194	0,199	0,211	0,244	0,291	0,317	0,332	0,259	0,000	0,000
7,000	-7,275	-7,248	-7,228	-7,141	-7,091	-7,061	-7,041	-7,031	-7,012	-7,013	-6,991	-6,970	-6,943	-6,891	-6,825	-0,035	0,036	0,072	0,117	0,106	0,086	0,087	0,083	0,079	0,080	0,085	0,102	0,111	0,123	0,089	0,000	0,000
8,000	-21,053	-21,351	-21,387	-21,549	-21,553	-21,614	-21,659	-21,689	-21,714	-21,781	-21,797	-21,814	-21,824	-21,783	-21,732	-0,596	-0,383	-0,333	-0,232	-0,192	-0,193	-0,178	-0,162	-0,147	-0,128	-0,082	-0,029	0,001	0,047	0,046	0,000	0,000
9,000	-10,347	-10,339	-10,278	-10,075	-9,935	-9,821	-9,753	-9,700	-9,637	-9,602	-9,548	-9,481	-9,405	-9,284	-9,146	-0,122	0,070	0,169	0,323	0,338	0,316	0,308	0,282	0,269	0,256	0,266	0,283	0,289	0,289	0,218	0,000	0,000
10,000	-10,336	-10,315	-10,154	-9,968	-9,856	-9,810	-9,777	-9,761	-9,737	-9,736	-9,709	-9,682	-9,630	-9,555	-9,467	-0,141	0,164	0,206	0,259	0,216	0,180	0,155	0,138	0,128	0,123	0,138	0,153	0,174	0,175	0,140	0,000	0,000
11,000	-9,713	-9,311	-9,158	-8,876	-8,752	-8,678	-8,638	-8,604	-8,574	-8,550	-8,515	-8,476	-8,423	-8,339	-8,246	0,809	0,666	0,584	0,448	0,371	0,291	0,255	0,218	0,197	0,185	0,188	0,194	0,195	0,193	0,143	0,000	0,000
12,000	-13,209	-12,660	-12,395	-12,156	-12,050	-12,015	-11,996	-11,982	-11,967	-11,973	-11,954	-11,924	-11,896	-11,821	-11,738	1,472	1,082	0,835	0,483	0,346	0,241	0,198	0,163	0,138	0,118	0,126	0,143	0,151	0,165	0,133	0,000	0,000
13,000	-7,549	-7,326	-7,282	-7,210	-7,190	-7,159	-7,140	-7,126	-7,099	-7,072	-7,026	-6,967	-6,875	-6,744	-6,573	0,677	0,425	0,307	0,187	0,160	0,144	0,149	0,155	0,171	0,190	0,230	0,273	0,304	0,318	0,253	0,000	0,000
14,000	-11,760	-11,571	-11,687	-11,606	-11,604	-11,581	-11,556	-11,562	-11,547	-11,543	-11,526	-11,487	-11,413	-11,274	-11,091	0,055	-0,090	0,007	0,052	0,057	0,048	0,065	0,069	0,089	0,105	0,163	0,216	0,265	0,313	0,251	0,000	0,000
15,000	-8,868	-8,985	-8,915	-8,922	-8,881	-8,877	-8,864	-8,852	-8,837	-8,836	-8,813	-8,787	-8,742	-8,673	-8,588	-0,192	-0,014	-0,025	0,032	0,038	0,048	0,055	0,068	0,073	0,084	0,104	0,123	0,148	0,159	0,128	0,000	0,000
	run	2	2022:11:08    11:07:58,287
0,000	-12,570	-12,628	-12,648	-12,719	-12,730	-12,744	-12,747	-12,748	-12,745	-12,752	-12,738	-12,713	-12,668	-12,584	-12,479	-0,150	-0,132	-0,100	-0,073	-0,053	-0,032	-0,010	0,003	0,019	0,050	0,077	0,121	0,161	0,186	0,146	0,000	0,000
1,000	-16,212	-16,213	-16,132	-15,974	-15,850	-15,757	-15,704	-15,665	-15,619	-15,584	-15,545	-15,500	-15,446	-15,366	-15,252	0,022	0,147	0,188	0,279	0,293	0,267	0,256	0,223	0,212	0,198	0,199	0,209	0,216	0,225	0,172	0,000	0,000
2,000	-9,881	-9,873	-9,845	-9,727	-9,627	-9,554	-9,507	-9,472	-9,426	-9,394	-9,338	-9,265	-9,175	-9,033	-8,881	0,081	0,102	0,153	0,236	0,244	0,224	0,235	0,225	0,232	0,239	0,267	0,305	0,320	0,319	0,244	0,000	0,000
3,000	-19,725	-19,708	-19,665	-19,399	-19,216	-19,089	-19,019	-18,968	-18,918	-18,898	-18,863	-18,821	-18,769	-18,669	-18,548	0,097	0,223	0,279	0,421	0,414	0,352	0,310	0,270	0,243	0,208	0,208	0,222	0,229	0,241	0,179	0,000	0,000
4,000	-10,726	-10,810	-10,722	-10,700	-10,669	-10,654	-10,659	-10,654	-10,659	-10,636	-10,593	-10,522	-10,397	-10,183	-9,900	-0,213	0,008	0,007	0,048	0,053	0,064	0,085	0,098	0,124	0,191	0,272	0,355	0,444	0,493	0,411	0,000	0,000
5,000	-12,253	-12,189	-12,348	-12,367	-12,368	-12,342	-12,324	-12,329	-12,301	-12,303	-12,260	-12,162	-12,011	-11,764	-11,426	0,032	-0,142	-0,101	-0,003	0,033	0,047	0,090	0,121	0,159	0,207	0,300	0,411	0,507	0,558	0,458	0,000	0,000
6,000	-8,915	-8,908	-8,818	-8,678	-8,573	-8,512	-8,485	-8,448	-8,416	-8,398	-8,338	-8,281	-8,185	-8,033	-7,852	-0,034	0,137	0,171	0,238	0,230	0,205	0,200	0,198	0,202	0,217	0,257	0,299	0,332	0,350	0,275	0,000	0,000
7,000	-7,414	-7,373	-7,340	-7,236	-7,189	-7,154	-7,133	-7,127	-7,111	-7,105	-7,087	-7,070	-7,046	-6,998	-6,940	-0,012	0,065	0,085	0,127	0,110	0,092	0,087	0,078	0,076	0,074	0,084	0,093	0,099	0,111	0,080	0,000	0,000
8,000	-21,093	-21,370	-21,428	-21,605	-21,613	-21,683	-21,723	-21,750	-21,778	-21,844	-21,863	-21,888	-21,899	-21,861	-21,812	-0,613	-0,396	-0,366	-0,259	-0,209	-0,207	-0,190	-0,170	-0,154	-0,135	-0,086	-0,037	-0,006	0,039	0,042	0,000	0,000
9,000	-10,400	-10,388	-10,314	-10,125	-9,977	-9,865	-9,794	-9,744	-9,685	-9,635	-9,584	-9,523	-9,440	-9,319	-9,176	-0,140	0,070	0,180	0,328	0,347	0,322	0,303	0,286	0,267	0,264	0,269	0,287	0,290	0,293	0,215	0,000	0,000
10,000	-10,126	-10,109	-9,968	-9,763	-9,651	-9,599	-9,571	-9,556	-9,531	-9,524	-9,497	-9,470	-9,421	-9,343	-9,259	-0,138	0,173	0,205	0,258	0,220	0,178	0,159	0,148	0,128	0,128	0,137	0,151	0,172	0,180	0,139	0,000	0,000
11,000	-9,495	-9,091	-8,954	-8,662	-8,548	-8,473	-8,432	-8,400	-8,369	-8,342	-8,308	-8,266	-8,210	-8,129	-8,036	0,802	0,661	0,579	0,444	0,368	0,292	0,254	0,219	0,201	0,191	0,187	0,196	0,205	0,203	0,150	0,000	0,000
12,000	-13,450	-12,870	-12,601	-12,349	-12,245	-12,197	-12,181	-12,169	-12,153	-12,161	-12,137	-12,117	-12,084	-12,014	-11,935	1,507	1,107	0,867	0,500	0,364	0,250	0,203	0,165	0,145	0,117	0,125	0,142	0,151	0,161	0,127	0,000	0,000
13,000	-7,557	-7,319	-7,292	-7,221	-7,194	-7,168	-7,149	-7,131	-7,105	-7,083	-7,038	-6,979	-6,882	-6,749	-6,574	0,653	0,410	0,294	0,180	0,154	0,138	0,142	0,152	0,165	0,191	0,228	0,267	0,308	0,323	0,258	0,000	0,000
14,000	-11,775	-11,568	-11,703	-11,613	-11,622	-11,593	-11,571	-11,572	-11,557	-11,551	-11,529	-11,494	-11,422	-11,296	-11,115	0,048	-0,093	0,011	0,052	0,055	0,050	0,070	0,069	0,091	0,117	0,153	0,220	0,258	0,298	0,251	0,000	0,000
15,000	-8,742	-8,853	-8,774	-8,783	-8,749	-8,743	-8,736	-8,726	-8,704	-8,708	-8,686	-8,657	-8,614	-8,541	-8,461	-0,190	-0,017	-0,022	0,029	0,039	0,049	0,051	0,066	0,066	0,087	0,103	0,119	0,145	0,156	0,125	0,000	0,000
	run	3	2022:11:08    11:07:58,334
0,000	-12,645	-12,720	-12,735	-12,801	-12,811	-12,823	-12,829	-12,829	-12,831	-12,836	-12,824	-12,795	-12,752	-12,666	-12,556	-0,142	-0,125	-0,112	-0,067	-0,050	-0,032	-0,009	0,002	0,022	0,050	0,077	0,124	0,163	0,184	0,149	0,000	0,000
1,000	-16,174	-16,155	-16,063	-15,909	-15,789	-15,699	-15,645	-15,601	-15,559	-15,531	-15,486	-15,445	-15,386	-15,300	-15,190	0,001	0,147	0,189	0,277	0,291	0,271	0,256	0,220	0,208	0,197	0,205	0,212	0,217	0,222	0,172	0,000	0,000
2,000	-9,881	-9,873	-9,845	-9,727	-9,627	-9,554	-9,507	-9,472	-9,426	-9,394	-9,338	-9,265	-9,175	-9,033	-8,881	0,081	0,102	0,153	0,236	0,244	0,224	0,235	0,225	0,232	0,239	0,267	0,305	0,320	0,319	0,244	0,000	0,000
3,000	-19,725	-19,708	-19,665	-19,399	-19,216	-19,089	-19,019	-18,968	-18,918	-18,898	-18,863	-18,821	-18,769	-18,669	-18,548	0,097	0,223	0,279	0,421	0,414	0,352	0,310	0,270	0,243	0,208	0,208	0,222	0,229	0,241	0,179	0,000	0,000
4,000	-10,726	-10,810	-10,722	-10,700	-10,669	-10,654	-10,659	-10,654	-10,659	-10,636	-10,593	-10,522	-10,397	-10,183	-9,900	-0,213	0,008	0,007	0,048	0,053	0,064	0,085	0,098	0,124	0,191	0,272	0,355	0,444	0,493	0,411	0,000	0,000
5,000	-12,253	-12,189	-12,348	-12,367	-12,368	-12,342	-12,324	-12,329	-12,301	-12,303	-12,260	-12,162	-12,011	-11,764	-11,426	0,032	-0,142	-0,101	-0,003	0,033	0,047	0,090	0,121	0,159	0,207	0,300	0,411	0,507	0,558	0,458	0,000	0,000
6,000	-8,915	-8,908	-8,818	-8,678	-8,573	-8,512	-8,485	-8,448	-8,416	-8,398	-8,338	-8,281	-8,185	-8,033	-7,852	-0,034	0,137	0,171	0,238	0,230	0,205	0,200	0,198	0,202	0,217	0,257	0,299	0,332	0,350	0,275	0,000	0,000
7,000	-7,414	-7,373	-7,340	-7,236	-7,189	-7,154	-7,133	-7,127	-7,111	-7,105	-7,087	-7,070	-7,046	-6,998	-6,940	-0,012	0,065	0,085	0,127	0,110	0,092	0,087	0,078	0,076	0,074	0,084	0,093	0,099	0,111	0,080	0,000	0,000
8,000	-21,315	-21,611	-21,657	-21,835	-21,842	-21,899	-21,948	-21,980	-22,002	-22,069	-22,090	-22,113	-22,114	-22,081	-22,030	-0,635	-0,405	-0,380	-0,255	-0,206	-0,201	-0,187	-0,175	-0,145	-0,126	-0,080	-0,030	-0,004	0,046	0,053	0,000	0,000
9,000	-10,378	-10,389	-10,312	-10,136	-9,987	-9,870	-9,804	-9,755	-9,693	-9,656	-9,590	-9,541	-9,455	-9,333	-9,191	-0,140	0,057	0,159	0,319	0,338	0,317	0,307	0,278	0,266	0,259	0,269	0,284	0,293	0,292	0,217	0,000	0,000
10,000	-10,151	-10,138	-9,972	-9,785	-9,671	-9,627	-9,595	-9,576	-9,554	-9,555	-9,526	-9,499	-9,451	-9,375	-9,286	-0,124	0,167	0,210	0,256	0,216	0,179	0,159	0,139	0,121	0,131	0,132	0,150	0,169	0,174	0,137	0,000	0,000
