Device: PM2003001		2022:11:08    11:46:09,901  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:46:09,903
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0,000	-13,083	-13,136	-13,158	-13,248	-13,274	-13,295	-13,301	-13,307	-13,312	-13,319	-13,313	-13,288	-13,244	-13,152	-13,049	-0,163	-0,135	-0,130	-0,107	-0,085	-0,055	-0,034	-0,015	0,003	0,032	0,072	0,112	0,159	0,184	0,152	0,000	0,000
1,000	-16,529	-16,484	-16,396	-16,164	-15,989	-15,865	-15,795	-15,731	-15,663	-15,630	-15,565	-15,512	-15,454	-15,350	-15,245	0,091	0,250	0,302	0,406	0,410	0,366	0,345	0,309	0,287	0,255	0,257	0,250	0,244	0,241	0,175	0,000	0,000
2,000	-10,210	-10,183	-10,146	-10,013	-9,902	-9,828	-9,781	-9,741	-9,685	-9,657	-9,591	-9,511	-9,417	-9,261	-9,100	0,072	0,132	0,182	0,253	0,265	0,243	0,249	0,245	0,251	0,261	0,289	0,321	0,342	0,345	0,258	0,000	0,000
3,000	-20,434	-20,387	-20,313	-19,974	-19,764	-19,625	-19,554	-19,493	-19,442	-19,434	-19,392	-19,356	-19,303	-19,196	-19,071	0,124	0,301	0,390	0,503	0,480	0,396	0,343	0,295	0,256	0,213	0,212	0,228	0,237	0,247	0,187	0,000	0,000
4,000	-10,914	-10,956	-10,869	-10,867	-10,850	-10,845	-10,839	-10,842	-10,834	-10,821	-10,775	-10,703	-10,563	-10,352	-10,060	-0,164	0,000	0,004	0,050	0,056	0,059	0,083	0,096	0,134	0,196	0,277	0,365	0,448	0,507	0,410	0,000	0,000
5,000	-12,409	-12,438	-12,547	-12,598	-12,580	-12,571	-12,560	-12,555	-12,523	-12,532	-12,487	-12,406	-12,281	-12,035	-11,740	-0,119	-0,188	-0,138	-0,014	0,015	0,027	0,073	0,099	0,140	0,194	0,268	0,366	0,465	0,520	0,421	0,000	0,000
6,000	-7,436	-7,229	-7,091	-6,893	-6,777	-6,718	-6,681	-6,650	-6,605	-6,580	-6,539	-6,498	-6,436	-6,341	-6,241	0,667	0,535	0,458	0,369	0,315	0,261	0,238	0,216	0,206	0,195	0,201	0,209	0,214	0,216	0,161	0,000	0,000
7,000	-3,156	-2,880	-2,828	-2,704	-2,657	-2,630	-2,621	-2,610	-2,592	-2,591	-2,584	-2,577	-2,565	-2,546	-2,520	1,321	0,747	0,549	0,307	0,228	0,154	0,128	0,107	0,089	0,068	0,063	0,059	0,055	0,055	0,036	0,000	0,000
8,000	-14,588	-14,271	-14,115	-14,088	-14,057	-14,056	-14,074	-14,094	-14,125	-14,150	-14,177	-14,198	-14,206	-14,185	-14,153	1,827	1,048	0,695	0,293	0,175	0,085	0,034	0,004	-0,030	-0,030	-0,028	-0,018	0,006	0,036	0,043	0,000	0,000
